salary_id,salary_range,currency,compensation_type
sal00213,Negotiable,CAD$,Hourly
sal00214,Negotiable,USD,Hourly
sal00215,$60k - $80k,$CAD,Hourly
sal00216,$60k - $80k,$CAD,Hourly
sal00217,50000 - 70000,CAD$,Annual
sal00218,80000 per annum,CAD$,Hourly
sal00219,Negotiable,CAD,Hourly
sal00220,35/hr,USD,Hourly
sal00221,80000 per annum,CAD,Hourly
sal00222,Negotiable,CAD$,Annual
sal00223,$60k - $80k,CAD,Hourly
sal00224,$55K to $75K,CAD$,Annual
sal00225,$60k - $80k,CAD,Annual
sal00226,50000 - 70000,CAD,Hourly
sal00227,Negotiable,CAD$,Annual
sal00228,Negotiable,CAD,Annual
sal00229,50000 - 70000,CAD$,Hourly
sal00230,$60k - $80k,CAD$,Hourly
sal00231,"$90,000 - $120,000",USD,Hourly
sal00232,50000 - 70000,CAD,Hourly
sal00233,50000 - 70000,CAD$,Annual
sal00234,50000 - 70000,CAD$,Hourly
sal00235,35/hr,CAD,Hourly
sal00236,50000 - 70000,USD,Hourly
sal00237,50000 - 70000,CAD,Hourly
sal00238,50000 - 70000,CAD,Hourly
sal00239,$60k - $80k,CAD,Annual
sal00240,"$90,000 - $120,000",CAD,Hourly
sal00241,Negotiable,CAD$,Hourly
sal00242,$60k - $80k,$CAD,Hourly
sal00243,50000 - 70000,CAD$,Annual
sal00244,Negotiable,USD,Hourly
sal00245,80000 per annum,CAD$,Annual
sal00246,50000 - 70000,CAD,Annual
sal00247,Negotiable,CAD,Hourly
sal00248,Negotiable,CAD,Hourly
sal00249,50000 - 70000,$CAD,Hourly
sal00250,50000 - 70000,CAD$,Annual
sal00251,Negotiable,CAD,Annual
sal00252,Negotiable,USD,Annual
sal00253,80000 per annum,USD,Annual
sal00254,$60k - $80k,USD,Annual
sal00255,35/hr,CAD,Hourly
sal00256,"$90,000 - $120,000",USD,Annual
sal00257,35/hr,CAD$,Hourly
sal00258,Negotiable,USD,Annual
sal00259,35/hr,$CAD,Hourly
sal00260,80000 per annum,CAD,Annual
sal00261,80000 per annum,$CAD,Hourly
sal00262,Negotiable,$CAD,Annual
sal00263,$55K to $75K,USD,Annual
sal00264,80000 per annum,CAD$,Annual
sal00265,50000 - 70000,$CAD,Annual
sal00266,$55K to $75K,CAD$,Hourly
sal00267,Negotiable,CAD$,Annual
sal00268,35/hr,USD,Annual
sal00269,35/hr,CAD,Hourly
sal00270,35/hr,CAD,Annual
sal00271,Negotiable,CAD$,Annual
sal00272,80000 per annum,USD,Hourly
sal00273,80000 per annum,CAD$,Annual
sal00274,"$90,000 - $120,000",USD,Hourly
sal00275,50000 - 70000,USD,Annual
sal00276,$55K to $75K,CAD$,Annual
sal00277,$60k - $80k,USD,Hourly
sal00278,35/hr,USD,Annual
sal00279,35/hr,CAD,Hourly
sal00280,$55K to $75K,CAD$,Annual
sal00281,$60k - $80k,CAD,Hourly
sal00282,50000 - 70000,USD,Annual
sal00283,35/hr,$CAD,Annual
sal00284,$60k - $80k,CAD,Hourly
sal00285,$60k - $80k,CAD$,Annual
sal00286,80000 per annum,CAD,Annual
sal00287,35/hr,$CAD,Hourly
sal00288,50000 - 70000,$CAD,Hourly
sal00289,80000 per annum,USD,Hourly
sal00290,50000 - 70000,CAD$,Hourly
sal00291,$55K to $75K,USD,Hourly
sal00292,$60k - $80k,$CAD,Hourly
sal00293,35/hr,CAD$,Hourly
sal00294,"$90,000 - $120,000",CAD$,Annual
sal00295,$55K to $75K,CAD$,Annual
sal00296,$55K to $75K,CAD,Annual
sal00297,$55K to $75K,CAD$,Hourly
sal00298,Negotiable,CAD,Hourly
sal00299,"$90,000 - $120,000",CAD$,Hourly
sal00300,35/hr,$CAD,Hourly
sal00301,$60k - $80k,$CAD,Annual
sal00302,Negotiable,USD,Hourly
sal00303,50000 - 70000,CAD$,Annual
sal00304,$55K to $75K,CAD$,Hourly
sal00305,Negotiable,$CAD,Hourly
sal00306,80000 per annum,USD,Hourly
sal00307,35/hr,CAD,Hourly
sal00308,35/hr,$CAD,Annual
sal00309,$55K to $75K,USD,Annual
sal00310,Negotiable,USD,Hourly
sal00311,50000 - 70000,USD,Hourly
sal00312,$60k - $80k,CAD,Hourly
sal00313,$60k - $80k,CAD,Hourly
sal00314,35/hr,USD,Hourly
sal00315,"$90,000 - $120,000",CAD$,Annual
sal00316,35/hr,CAD,Hourly
sal00317,"$90,000 - $120,000",$CAD,Hourly
sal00318,$60k - $80k,CAD,Annual
sal00319,35/hr,USD,Hourly
sal00320,80000 per annum,USD,Annual
sal00321,80000 per annum,CAD,Annual
sal00322,"$90,000 - $120,000",CAD,Hourly
sal00323,Negotiable,CAD$,Annual
sal00324,80000 per annum,CAD$,Annual
sal00325,"$90,000 - $120,000",CAD$,Hourly
sal00326,Negotiable,USD,Hourly
sal00327,Negotiable,USD,Annual
sal00328,Negotiable,CAD,Annual
sal00329,Negotiable,USD,Hourly
sal00330,50000 - 70000,USD,Hourly
sal00331,80000 per annum,$CAD,Annual
sal00332,"$90,000 - $120,000",CAD$,Hourly
sal00333,"$90,000 - $120,000",CAD,Annual
sal00334,$55K to $75K,CAD,Hourly
sal00335,35/hr,CAD,Annual
sal00336,35/hr,CAD$,Hourly
sal00337,$55K to $75K,CAD,Hourly
sal00338,"$90,000 - $120,000",CAD,Annual
sal00339,Negotiable,CAD,Hourly
sal00340,$60k - $80k,CAD$,Annual
sal00341,$55K to $75K,USD,Hourly
sal00342,$55K to $75K,USD,Hourly
sal00343,Negotiable,CAD,Annual
sal00344,80000 per annum,CAD$,Annual
sal00345,Negotiable,USD,Annual
sal00346,50000 - 70000,USD,Annual
sal00347,35/hr,$CAD,Annual
sal00348,80000 per annum,USD,Hourly
sal00349,$60k - $80k,USD,Hourly
sal00350,Negotiable,CAD,Annual
sal00351,80000 per annum,$CAD,Annual
sal00352,50000 - 70000,$CAD,Hourly
sal00353,80000 per annum,CAD,Hourly
sal00354,$60k - $80k,$CAD,Hourly
sal00355,"$90,000 - $120,000",USD,Hourly
sal00356,50000 - 70000,CAD$,Annual
sal00357,"$90,000 - $120,000",$CAD,Annual
sal00358,$60k - $80k,$CAD,Hourly
sal00359,"$90,000 - $120,000",$CAD,Annual
sal00360,$55K to $75K,CAD$,Hourly
sal00361,50000 - 70000,USD,Hourly
sal00362,$55K to $75K,$CAD,Hourly
sal00363,50000 - 70000,CAD,Annual
sal00364,80000 per annum,USD,Annual
sal00365,$60k - $80k,CAD$,Annual
sal00366,35/hr,$CAD,Hourly
sal00367,50000 - 70000,USD,Hourly
sal00368,50000 - 70000,CAD$,Hourly
sal00369,$55K to $75K,CAD$,Annual
sal00370,$55K to $75K,$CAD,Hourly
sal00371,$55K to $75K,USD,Annual
sal00372,$60k - $80k,$CAD,Annual
sal00373,Negotiable,CAD,Hourly
sal00374,50000 - 70000,USD,Annual
sal00375,$55K to $75K,USD,Annual
sal00376,50000 - 70000,CAD,Annual
sal00377,80000 per annum,$CAD,Hourly
sal00378,"$90,000 - $120,000",USD,Annual
sal00379,$60k - $80k,$CAD,Hourly
sal00380,Negotiable,$CAD,Annual
sal00381,"$90,000 - $120,000",CAD$,Hourly
sal00382,"$90,000 - $120,000",$CAD,Annual
sal00383,$55K to $75K,CAD$,Hourly
sal00384,Negotiable,CAD,Hourly
sal00385,$55K to $75K,USD,Annual
sal00386,$55K to $75K,$CAD,Hourly
sal00387,80000 per annum,$CAD,Annual
sal00388,"$90,000 - $120,000",USD,Annual
sal00389,35/hr,CAD,Annual
sal00390,35/hr,CAD,Annual
sal00391,"$90,000 - $120,000",USD,Hourly
sal00392,$60k - $80k,CAD,Hourly
sal00393,"$90,000 - $120,000",CAD$,Annual
sal00394,"$90,000 - $120,000",CAD$,Hourly
sal00395,$60k - $80k,CAD$,Annual
sal00396,50000 - 70000,USD,Hourly
sal00397,35/hr,$CAD,Hourly
sal00398,35/hr,CAD,Annual
sal00399,35/hr,$CAD,Hourly
sal00400,50000 - 70000,CAD,Hourly
sal00401,80000 per annum,USD,Annual
sal00402,$55K to $75K,CAD$,Hourly
sal00403,50000 - 70000,CAD$,Annual
sal00404,50000 - 70000,CAD$,Annual
sal00405,Negotiable,USD,Hourly
sal00406,35/hr,CAD,Annual
sal00407,80000 per annum,CAD$,Annual
sal00408,"$90,000 - $120,000",USD,Hourly
sal00409,$60k - $80k,$CAD,Annual
sal00410,35/hr,USD,Annual
sal00411,35/hr,CAD,Annual
sal00412,35/hr,USD,Annual
sal00413,$55K to $75K,USD,Annual
sal00414,35/hr,$CAD,Annual
sal00415,50000 - 70000,CAD$,Hourly
sal00416,Negotiable,CAD,Hourly
sal00417,"$90,000 - $120,000",$CAD,Hourly
sal00418,$55K to $75K,CAD$,Hourly
sal00419,80000 per annum,USD,Hourly
sal00420,$60k - $80k,USD,Hourly
sal00421,$60k - $80k,USD,Annual
sal00422,$60k - $80k,CAD$,Annual
sal00423,35/hr,CAD$,Annual
sal00424,$60k - $80k,CAD$,Annual
sal00425,35/hr,CAD,Annual
sal00426,80000 per annum,CAD,Annual
sal00427,50000 - 70000,USD,Hourly
sal00428,80000 per annum,$CAD,Annual
sal00429,35/hr,USD,Annual
sal00430,Negotiable,CAD$,Hourly
sal00431,35/hr,USD,Annual
sal00432,35/hr,$CAD,Annual
sal00433,35/hr,$CAD,Annual
sal00434,$55K to $75K,USD,Annual
sal00435,80000 per annum,CAD,Hourly
sal00436,$60k - $80k,$CAD,Annual
sal00437,Negotiable,CAD$,Hourly
sal00438,50000 - 70000,CAD,Hourly
sal00439,80000 per annum,CAD$,Annual
sal00440,$60k - $80k,USD,Hourly
sal00441,Negotiable,$CAD,Hourly
sal00442,"$90,000 - $120,000",CAD$,Hourly
sal00443,$60k - $80k,USD,Hourly
sal00444,Negotiable,USD,Hourly
sal00445,"$90,000 - $120,000",CAD,Hourly
sal00446,80000 per annum,CAD,Hourly
sal00447,$55K to $75K,USD,Annual
sal00448,Negotiable,CAD,Annual
sal00449,Negotiable,CAD$,Annual
sal00450,$55K to $75K,CAD$,Annual
sal00451,"$90,000 - $120,000",$CAD,Hourly
sal00452,80000 per annum,CAD,Hourly
sal00453,35/hr,USD,Annual
sal00454,35/hr,CAD$,Hourly
sal00455,Negotiable,$CAD,Hourly
sal00456,$60k - $80k,CAD$,Annual
sal00457,$55K to $75K,$CAD,Annual
sal00458,"$90,000 - $120,000",CAD$,Annual
sal00459,$55K to $75K,$CAD,Annual
sal00460,80000 per annum,USD,Hourly
sal00461,"$90,000 - $120,000",$CAD,Annual
sal00462,35/hr,CAD$,Annual
sal00463,35/hr,USD,Annual
sal00464,$60k - $80k,CAD$,Hourly
sal00465,35/hr,CAD$,Hourly
sal00466,$55K to $75K,CAD,Annual
sal00467,35/hr,CAD,Annual
sal00468,"$90,000 - $120,000",USD,Hourly
sal00469,"$90,000 - $120,000",CAD,Hourly
sal00470,$60k - $80k,$CAD,Annual
sal00471,80000 per annum,CAD,Annual
sal00472,"$90,000 - $120,000",CAD,Annual
sal00473,50000 - 70000,CAD$,Hourly
sal00474,$60k - $80k,USD,Annual
sal00475,35/hr,$CAD,Hourly
sal00476,80000 per annum,CAD$,Hourly
sal00477,$55K to $75K,USD,Hourly
sal00478,35/hr,CAD$,Annual
sal00479,$55K to $75K,USD,Annual
sal00480,80000 per annum,CAD$,Hourly
sal00481,80000 per annum,$CAD,Hourly
sal00482,"$90,000 - $120,000",CAD$,Annual
sal00483,$60k - $80k,USD,Annual
sal00484,50000 - 70000,$CAD,Hourly
sal00485,Negotiable,$CAD,Annual
sal00486,$55K to $75K,CAD,Hourly
sal00487,35/hr,$CAD,Hourly
sal00488,$55K to $75K,USD,Hourly
sal00489,80000 per annum,USD,Annual
sal00490,$55K to $75K,CAD$,Annual
sal00491,35/hr,CAD$,Hourly
sal00492,50000 - 70000,CAD$,Annual
sal00493,"$90,000 - $120,000",CAD$,Hourly
sal00494,50000 - 70000,CAD$,Hourly
sal00495,Negotiable,$CAD,Hourly
sal00496,$60k - $80k,$CAD,Hourly
sal00497,"$90,000 - $120,000",CAD$,Annual
sal00498,Negotiable,CAD,Annual
sal00499,"$90,000 - $120,000",$CAD,Hourly
sal00500,Negotiable,CAD,Annual
sal00501,$55K to $75K,$CAD,Annual
sal00502,50000 - 70000,USD,Hourly
sal00503,35/hr,USD,Hourly
sal00504,"$90,000 - $120,000",CAD,Hourly
sal00505,Negotiable,USD,Annual
sal00506,Negotiable,CAD,Annual
sal00507,$55K to $75K,CAD,Hourly
sal00508,80000 per annum,$CAD,Annual
sal00509,$60k - $80k,CAD,Hourly
sal00510,$60k - $80k,CAD$,Hourly
sal00511,50000 - 70000,CAD,Annual
sal00512,80000 per annum,CAD,Annual
sal00513,$55K to $75K,USD,Annual
sal00514,Negotiable,CAD,Hourly
sal00515,"$90,000 - $120,000",USD,Annual
sal00516,"$90,000 - $120,000",CAD$,Annual
sal00517,$60k - $80k,USD,Hourly
sal00518,80000 per annum,CAD,Annual
sal00519,$60k - $80k,USD,Annual
sal00520,35/hr,$CAD,Annual
sal00521,Negotiable,$CAD,Annual
sal00522,80000 per annum,CAD$,Hourly
sal00523,50000 - 70000,CAD$,Hourly
sal00524,50000 - 70000,CAD,Hourly
sal00525,"$90,000 - $120,000",CAD,Hourly
sal00526,$55K to $75K,$CAD,Annual
sal00527,Negotiable,CAD,Annual
sal00528,$55K to $75K,USD,Hourly
sal00529,80000 per annum,CAD,Hourly
sal00530,"$90,000 - $120,000",USD,Hourly
sal00531,$60k - $80k,$CAD,Annual
sal00532,35/hr,USD,Annual
sal00533,$55K to $75K,CAD$,Hourly
sal00534,80000 per annum,USD,Hourly
sal00535,"$90,000 - $120,000",$CAD,Annual
sal00536,80000 per annum,CAD$,Hourly
sal00537,35/hr,CAD,Hourly
sal00538,50000 - 70000,CAD,Hourly
sal00539,"$90,000 - $120,000",$CAD,Annual
sal00540,"$90,000 - $120,000",CAD$,Hourly
sal00541,$55K to $75K,CAD$,Hourly
sal00542,50000 - 70000,CAD,Hourly
sal00543,80000 per annum,CAD,Annual
sal00544,"$90,000 - $120,000",$CAD,Hourly
sal00545,$55K to $75K,USD,Hourly
sal00546,35/hr,CAD,Hourly
sal00547,35/hr,CAD,Hourly
sal00548,$55K to $75K,USD,Annual
sal00549,Negotiable,CAD$,Annual
sal00550,"$90,000 - $120,000",USD,Hourly
sal00551,$60k - $80k,USD,Annual
sal00552,Negotiable,USD,Hourly
sal00553,$60k - $80k,CAD,Hourly
sal00554,Negotiable,$CAD,Hourly
sal00555,$60k - $80k,USD,Hourly
sal00556,Negotiable,USD,Hourly
sal00557,$55K to $75K,CAD$,Hourly
sal00558,35/hr,$CAD,Annual
sal00559,80000 per annum,$CAD,Annual
sal00560,$60k - $80k,CAD,Hourly
sal00561,"$90,000 - $120,000",USD,Hourly
sal00562,$55K to $75K,USD,Annual
sal00563,$55K to $75K,CAD$,Annual
sal00564,$55K to $75K,CAD,Hourly
sal00565,$60k - $80k,CAD$,Hourly
sal00566,50000 - 70000,USD,Annual
sal00567,35/hr,CAD$,Annual
sal00568,80000 per annum,$CAD,Hourly
sal00569,80000 per annum,CAD$,Hourly
sal00570,"$90,000 - $120,000",$CAD,Hourly
sal00571,$55K to $75K,CAD$,Hourly
sal00572,Negotiable,CAD$,Annual
sal00573,80000 per annum,CAD$,Hourly
sal00574,$60k - $80k,CAD$,Hourly
sal00575,50000 - 70000,$CAD,Annual
sal00576,Negotiable,CAD,Hourly
sal00577,80000 per annum,CAD,Hourly
sal00578,35/hr,CAD,Hourly
sal00579,35/hr,$CAD,Annual
sal00580,35/hr,CAD,Hourly
sal00581,"$90,000 - $120,000",$CAD,Annual
sal00582,$55K to $75K,$CAD,Annual
sal00583,50000 - 70000,USD,Hourly
sal00584,$55K to $75K,CAD,Annual
sal00585,35/hr,CAD,Annual
sal00586,80000 per annum,$CAD,Hourly
sal00587,$60k - $80k,CAD$,Hourly
sal00588,Negotiable,CAD$,Hourly
sal00589,80000 per annum,CAD$,Hourly
sal00590,Negotiable,$CAD,Annual
sal00591,35/hr,$CAD,Hourly
sal00592,Negotiable,CAD$,Hourly
sal00593,35/hr,CAD,Annual
sal00594,$55K to $75K,CAD,Annual
sal00595,50000 - 70000,CAD,Hourly
sal00596,Negotiable,CAD$,Hourly
sal00597,$60k - $80k,USD,Annual
sal00598,Negotiable,CAD,Hourly
sal00599,$55K to $75K,CAD,Annual
sal00600,80000 per annum,CAD,Annual
sal00601,"$90,000 - $120,000",$CAD,Annual
sal00602,35/hr,CAD,Hourly
sal00603,$60k - $80k,CAD$,Annual
sal00604,"$90,000 - $120,000",CAD,Annual
sal00605,50000 - 70000,CAD,Annual
sal00606,$55K to $75K,USD,Annual
sal00607,Negotiable,CAD$,Hourly
sal00608,$60k - $80k,$CAD,Annual
sal00609,35/hr,USD,Hourly
sal00610,80000 per annum,CAD,Annual
sal00611,Negotiable,$CAD,Annual
sal00612,$55K to $75K,USD,Hourly
sal00613,50000 - 70000,$CAD,Hourly
sal00614,Negotiable,$CAD,Hourly
sal00615,50000 - 70000,$CAD,Annual
sal00616,50000 - 70000,CAD,Annual
sal00617,50000 - 70000,CAD$,Hourly
sal00618,35/hr,USD,Hourly
sal00619,$60k - $80k,$CAD,Annual
sal00620,50000 - 70000,USD,Hourly
sal00621,Negotiable,USD,Hourly
sal00622,35/hr,CAD$,Hourly
sal00623,$60k - $80k,CAD$,Annual
sal00624,Negotiable,$CAD,Hourly
sal00625,35/hr,$CAD,Hourly
sal00626,35/hr,USD,Annual
sal00627,Negotiable,USD,Hourly
sal00628,"$90,000 - $120,000",USD,Hourly
sal00629,$60k - $80k,CAD,Hourly
sal00630,"$90,000 - $120,000",USD,Annual
sal00631,50000 - 70000,CAD$,Hourly
sal00632,35/hr,CAD$,Annual
sal00633,"$90,000 - $120,000",USD,Annual
sal00634,"$90,000 - $120,000",$CAD,Hourly
sal00635,"$90,000 - $120,000",USD,Annual
sal00636,50000 - 70000,$CAD,Hourly
sal00637,"$90,000 - $120,000",$CAD,Annual
sal00638,$55K to $75K,CAD,Annual
sal00639,35/hr,USD,Hourly
sal00640,80000 per annum,USD,Hourly
sal00641,$55K to $75K,$CAD,Annual
sal00642,50000 - 70000,$CAD,Hourly
sal00643,$60k - $80k,USD,Hourly
sal00644,35/hr,$CAD,Annual
sal00645,50000 - 70000,CAD,Annual
sal00646,$55K to $75K,CAD,Annual
sal00647,"$90,000 - $120,000",CAD$,Hourly
sal00648,35/hr,USD,Hourly
sal00649,$55K to $75K,$CAD,Annual
