job_id,job_title,company_id,post_date,job_type,city_location,requirements_id,salary_id
j00096,Database Admin,comp137,2024/09/19,Part-Time,"Edmonton, AB",req00096,sal00096
j00097,BI Developer,comp187,2025/02/19,Full Time,"Vancouver, BC",req00097,sal00097
j00098,BI Developer,comp063,07-23-2024,Part-Time,"Calgary, AB",req00098,sal00098
j00099,Machine Learning Engineer,comp042,Jul 19 2024,F/T,"Ottawa, ON",req00099,sal00099
j00100,Database Admin,comp119,08-28-2024,Contract,"Edmonton, AB",req00100,sal00100
j00101,Data Scientist,comp098,08-19-2024,Full Time,Remote,req00101,sal00101
j00102,Statistician,comp070,Oct 30 2024,Internship,"Calgary, AB",req00102,sal00102
j00103,Data Analyst,comp164,Nov 03 2024,Full Time,"Toronto, ON",req00103,sal00103
j00104,Data Analyst,comp177,2024/11/07,FT,Remote,req00104,sal00104
j00105,Statistician,comp143,Jan 03 2025,Contract,"Toronto, ON",req00105,sal00105
j00106,Database Admin,comp057,06-23-2024,Internship,"Calgary, AB",req00106,sal00106
j00107,AI Specialist,comp176,2024/10/03,F/T,"Vancouver, BC",req00107,sal00107
j00108,Machine Learning Engineer,comp084,07-25-2024,Part-Time,"Edmonton, AB",req00108,sal00108
j00109,Data Engineer,comp197,2025/01/05,Contract,"Montreal, QC",req00109,sal00109
j00110,Analytics Manager,comp199,04-01-2025,Part-Time,"Montreal, QC",req00110,sal00110
j00111,Database Admin,comp015,2024/08/17,Full Time,"Ottawa, ON",req00111,sal00111
j00112,Data Engineer,comp059,2024/04/23,Part-Time,"Montreal, QC",req00112,sal00112
j00113,BI Developer,comp009,06-09-2024,Contract,"Montreal, QC",req00113,sal00113
j00114,Database Admin,comp081,2024/12/18,Contract,"Montreal, QC",req00114,sal00114
j00115,Data Scientist,comp103,05-08-2024,F/T,"Toronto, ON",req00115,sal00115
j00116,AI Specialist,comp069,2024/06/07,FT,"Montreal, QC",req00116,sal00116
j00117,Machine Learning Engineer,comp017,Dec 03 2024,Contract,"Toronto, ON",req00117,sal00117
j00118,Statistician,comp055,09-01-2024,FT,"Ottawa, ON",req00118,sal00118
j00119,AI Specialist,comp146,2024/09/18,Full Time,"Edmonton, AB",req00119,sal00119
j00120,BI Developer,comp184,2024/05/02,Contract,"Toronto, ON",req00120,sal00120
j00121,Data Analyst,comp081,Apr 21 2024,FT,Remote,req00121,sal00121
j00122,Machine Learning Engineer,comp055,07-30-2024,FT,"Ottawa, ON",req00122,sal00122
j00123,Analytics Manager,comp168,2024/11/13,Contract,"Calgary, AB",req00123,sal00123
j00124,AI Specialist,comp128,01-23-2025,Part-Time,Remote,req00124,sal00124
j00125,Statistician,comp102,2024/12/30,Full Time,"Ottawa, ON",req00125,sal00125
j00126,Statistician,comp165,2024/10/17,FT,"Calgary, AB",req00126,sal00126
j00127,Machine Learning Engineer,comp118,Jan 19 2025,Internship,Remote,req00127,sal00127
j00128,Statistician,comp037,2024/07/09,Contract,"Toronto, ON",req00128,sal00128
j00129,Database Admin,comp068,01-19-2025,Full Time,"Montreal, QC",req00129,sal00129
j00130,Data Analyst,comp036,01-12-2025,FT,"Vancouver, BC",req00130,sal00130
j00131,Data Scientist,comp064,Apr 19 2024,Part-Time,"Calgary, AB",req00131,sal00131
j00132,Database Admin,comp191,2024/08/12,FT,Remote,req00132,sal00132
j00133,Statistician,comp144,Jun 11 2024,FT,"Calgary, AB",req00133,sal00133
j00134,BI Developer,comp138,04-26-2024,Part-Time,"Vancouver, BC",req00134,sal00134
j00135,Data Engineer,comp068,Sep 10 2024,Internship,"Montreal, QC",req00135,sal00135
j00136,Data Engineer,comp192,Mar 26 2025,F/T,"Montreal, QC",req00136,sal00136
j00137,Statistician,comp150,03-16-2025,Full Time,"Vancouver, BC",req00137,sal00137
j00138,Data Engineer,comp110,2024/05/08,Contract,"Calgary, AB",req00138,sal00138
j00139,Statistician,comp150,2024/05/21,Part-Time,"Calgary, AB",req00139,sal00139
j00140,Database Admin,comp103,05-18-2024,Internship,"Calgary, AB",req00140,sal00140
j00141,AI Specialist,comp093,07-04-2024,F/T,Remote,req00141,sal00141
j00142,Analytics Manager,comp057,01-21-2025,Part-Time,"Ottawa, ON",req00142,sal00142
j00143,Statistician,comp036,08-05-2024,Full Time,"Toronto, ON",req00143,sal00143
j00144,Statistician,comp131,Aug 21 2024,Internship,Remote,req00144,sal00144
j00145,Data Engineer,comp127,05-08-2024,Part-Time,"Montreal, QC",req00145,sal00145
j00146,Machine Learning Engineer,comp024,07-14-2024,Contract,"Ottawa, ON",req00146,sal00146
j00147,Statistician,comp194,May 07 2024,F/T,Remote,req00147,sal00147
j00148,Data Engineer,comp013,01-28-2025,Contract,"Ottawa, ON",req00148,sal00148
j00149,Data Engineer,comp029,12-28-2024,Internship,"Toronto, ON",req00149,sal00149
j00150,Data Engineer,comp040,Mar 19 2025,F/T,"Toronto, ON",req00150,sal00150
j00151,Database Admin,comp161,2024/08/11,Part-Time,"Toronto, ON",req00151,sal00151
j00152,Database Admin,comp041,2025/01/28,Internship,"Edmonton, AB",req00152,sal00152
j00153,Data Scientist,comp175,2024/10/19,Contract,"Toronto, ON",req00153,sal00153
j00154,Statistician,comp109,2024/08/06,Contract,"Toronto, ON",req00154,sal00154
j00155,Analytics Manager,comp153,07-16-2024,Contract,"Ottawa, ON",req00155,sal00155
j00156,Data Analyst,comp017,2024/04/12,Contract,"Vancouver, BC",req00156,sal00156
j00157,BI Developer,comp099,Jan 15 2025,Full Time,"Ottawa, ON",req00157,sal00157
j00158,Machine Learning Engineer,comp098,Sep 12 2024,Full Time,Remote,req00158,sal00158
j00159,Statistician,comp153,09-15-2024,FT,"Calgary, AB",req00159,sal00159
j00160,Data Analyst,comp120,02-04-2025,F/T,"Montreal, QC",req00160,sal00160
j00161,Analytics Manager,comp136,2024/07/01,F/T,"Edmonton, AB",req00161,sal00161
j00162,Database Admin,comp065,12-28-2024,Full Time,"Toronto, ON",req00162,sal00162
j00163,Database Admin,comp142,Dec 30 2024,Contract,"Vancouver, BC",req00163,sal00163
j00164,AI Specialist,comp003,2025/02/01,FT,"Montreal, QC",req00164,sal00164
j00165,Data Analyst,comp175,2024/12/29,Full Time,"Ottawa, ON",req00165,sal00165
j00166,Database Admin,comp185,Feb 05 2025,Full Time,"Edmonton, AB",req00166,sal00166
j00167,BI Developer,comp030,Nov 08 2024,FT,"Calgary, AB",req00167,sal00167
j00168,Data Engineer,comp175,02-15-2025,F/T,"Montreal, QC",req00168,sal00168
j00169,AI Specialist,comp138,2024/05/26,Contract,Remote,req00169,sal00169
j00170,Machine Learning Engineer,comp193,2024/10/13,Full Time,"Edmonton, AB",req00170,sal00170
j00171,Statistician,comp069,2024/06/18,Part-Time,"Edmonton, AB",req00171,sal00171
j00172,Data Scientist,comp197,2025/02/14,FT,"Montreal, QC",req00172,sal00172
j00173,Database Admin,comp165,2025/01/09,F/T,"Calgary, AB",req00173,sal00173
j00174,Data Engineer,comp088,Apr 02 2025,Internship,"Montreal, QC",req00174,sal00174
j00175,Data Engineer,comp029,01-01-2025,Part-Time,"Vancouver, BC",req00175,sal00175
j00176,Data Scientist,comp076,11-08-2024,F/T,"Montreal, QC",req00176,sal00176
j00177,Statistician,comp112,2025/03/28,Contract,"Vancouver, BC",req00177,sal00177
j00178,Statistician,comp041,11-25-2024,Full Time,"Calgary, AB",req00178,sal00178
j00179,Database Admin,comp117,May 30 2024,Part-Time,"Montreal, QC",req00179,sal00179
j00180,Analytics Manager,comp001,2024/04/12,Contract,"Ottawa, ON",req00180,sal00180
j00181,Machine Learning Engineer,comp185,Aug 26 2024,Full Time,"Vancouver, BC",req00181,sal00181
j00182,AI Specialist,comp185,May 14 2024,F/T,"Toronto, ON",req00182,sal00182
j00183,Statistician,comp068,08-13-2024,Internship,"Calgary, AB",req00183,sal00183
j00184,Database Admin,comp129,2025/02/14,F/T,"Calgary, AB",req00184,sal00184
j00185,Statistician,comp196,04-04-2025,Part-Time,Remote,req00185,sal00185
j00186,Analytics Manager,comp046,04-30-2024,Contract,"Edmonton, AB",req00186,sal00186
j00187,Data Engineer,comp130,Jun 19 2024,Contract,"Toronto, ON",req00187,sal00187
j00188,Data Engineer,comp028,10-16-2024,Full Time,"Toronto, ON",req00188,sal00188
j00189,Data Analyst,comp161,Oct 11 2024,Contract,"Montreal, QC",req00189,sal00189
j00190,AI Specialist,comp077,04-05-2024,F/T,Remote,req00190,sal00190
j00191,Data Scientist,comp164,08-12-2024,Contract,"Vancouver, BC",req00191,sal00191
j00192,Data Engineer,comp130,Jan 29 2025,Full Time,"Calgary, AB",req00192,sal00192
j00193,Analytics Manager,comp156,Jan 22 2025,Full Time,"Vancouver, BC",req00193,sal00193
j00194,Analytics Manager,comp051,02-05-2025,Full Time,"Montreal, QC",req00194,sal00194
j00195,AI Specialist,comp040,2025/02/18,Part-Time,"Calgary, AB",req00195,sal00195
j00196,Data Engineer,comp096,Feb 17 2025,Full Time,"Montreal, QC",req00196,sal00196
j00197,BI Developer,comp196,2024/10/24,FT,"Calgary, AB",req00197,sal00197
j00198,BI Developer,comp042,2024/04/15,F/T,"Vancouver, BC",req00198,sal00198
j00199,Data Scientist,comp139,2024/07/31,Full Time,"Vancouver, BC",req00199,sal00199
j00200,AI Specialist,comp200,09-07-2024,Internship,"Calgary, AB",req00200,sal00200
j00201,AI Specialist,comp136,2025/02/09,Part-Time,"Vancouver, BC",req00201,sal00201
j00202,Data Engineer,comp001,05-18-2024,Internship,"Montreal, QC",req00202,sal00202
j00203,Machine Learning Engineer,comp154,10-31-2024,Internship,"Vancouver, BC",req00203,sal00203
j00204,AI Specialist,comp083,2025/01/11,F/T,Remote,req00204,sal00204
j00205,Data Scientist,comp126,01-08-2025,Internship,"Montreal, QC",req00205,sal00205
j00206,Data Scientist,comp005,07-22-2024,Contract,"Edmonton, AB",req00206,sal00206
j00207,BI Developer,comp029,Aug 08 2024,Full Time,"Edmonton, AB",req00207,sal00207
j00208,Data Analyst,comp093,06-12-2024,Internship,"Edmonton, AB",req00208,sal00208
j00209,Statistician,comp079,07-01-2024,Full Time,"Toronto, ON",req00209,sal00209
j00210,Database Admin,comp062,Feb 24 2025,Full Time,"Edmonton, AB",req00210,sal00210
j00211,Machine Learning Engineer,comp015,02-09-2025,F/T,"Toronto, ON",req00211,sal00211
j00212,Database Admin,comp062,Jul 08 2024,Contract,"Toronto, ON",req00212,sal00212
j00213,BI Developer,comp146,Aug 26 2024,Part-Time,Remote,req00213,sal00213
j00214,Analytics Manager,comp021,2024/06/12,Full Time,Remote,req00214,sal00214
j00215,Machine Learning Engineer,comp022,10-21-2024,Part-Time,Remote,req00215,sal00215
j00216,Database Admin,comp188,2024/11/15,F/T,Remote,req00216,sal00216
j00217,Statistician,comp125,10-02-2024,F/T,"Toronto, ON",req00217,sal00217
j00218,Data Analyst,comp018,Aug 09 2024,Part-Time,"Toronto, ON",req00218,sal00218
j00219,AI Specialist,comp195,Aug 05 2024,FT,"Vancouver, BC",req00219,sal00219
j00220,Database Admin,comp137,Dec 03 2024,Internship,"Montreal, QC",req00220,sal00220
j00221,AI Specialist,comp197,2024/05/13,Full Time,"Vancouver, BC",req00221,sal00221
j00222,Data Engineer,comp033,08-09-2024,Contract,"Toronto, ON",req00222,sal00222
j00223,Database Admin,comp033,2024/08/28,FT,Remote,req00223,sal00223
j00224,AI Specialist,comp169,2024/07/11,Full Time,"Toronto, ON",req00224,sal00224
j00225,Machine Learning Engineer,comp122,07-03-2024,Full Time,Remote,req00225,sal00225
j00226,Machine Learning Engineer,comp141,2024/07/28,Full Time,"Vancouver, BC",req00226,sal00226
j00227,Statistician,comp043,Nov 12 2024,Contract,"Calgary, AB",req00227,sal00227
j00228,Data Scientist,comp068,03-24-2025,Contract,"Calgary, AB",req00228,sal00228
j00229,Data Analyst,comp136,Apr 01 2025,Full Time,"Calgary, AB",req00229,sal00229
j00230,Data Scientist,comp156,11-09-2024,Internship,Remote,req00230,sal00230
j00231,Statistician,comp109,05-19-2024,Part-Time,"Toronto, ON",req00231,sal00231
j00232,Analytics Manager,comp055,08-29-2024,Part-Time,"Calgary, AB",req00232,sal00232
j00233,Database Admin,comp139,07-06-2024,F/T,"Calgary, AB",req00233,sal00233
j00234,Statistician,comp194,2024/05/19,Internship,"Vancouver, BC",req00234,sal00234
j00235,Machine Learning Engineer,comp187,02-03-2025,Part-Time,"Montreal, QC",req00235,sal00235
j00236,Statistician,comp177,2024/10/21,Part-Time,"Ottawa, ON",req00236,sal00236
j00237,BI Developer,comp052,Oct 08 2024,FT,"Edmonton, AB",req00237,sal00237
j00238,Analytics Manager,comp183,Feb 10 2025,FT,"Montreal, QC",req00238,sal00238
j00239,Data Scientist,comp080,May 24 2024,Internship,Remote,req00239,sal00239
j00240,BI Developer,comp103,Jun 15 2024,Part-Time,"Calgary, AB",req00240,sal00240
j00241,Statistician,comp172,2024/10/12,Part-Time,"Edmonton, AB",req00241,sal00241
j00242,BI Developer,comp167,2024/06/09,Contract,"Calgary, AB",req00242,sal00242
j00243,Machine Learning Engineer,comp096,Jul 12 2024,Contract,"Montreal, QC",req00243,sal00243
j00244,Statistician,comp113,2025/02/07,Part-Time,"Montreal, QC",req00244,sal00244
j00245,Data Scientist,comp133,2024/08/21,Internship,"Toronto, ON",req00245,sal00245
j00246,AI Specialist,comp116,Jul 19 2024,F/T,"Toronto, ON",req00246,sal00246
j00247,Statistician,comp031,10-14-2024,Contract,"Vancouver, BC",req00247,sal00247
j00248,Data Scientist,comp064,2024/04/06,FT,"Ottawa, ON",req00248,sal00248
j00249,Analytics Manager,comp058,2024/06/10,Full Time,"Edmonton, AB",req00249,sal00249
j00250,Data Scientist,comp017,Mar 31 2025,F/T,"Montreal, QC",req00250,sal00250
j00251,Machine Learning Engineer,comp087,2025/01/17,Internship,"Edmonton, AB",req00251,sal00251
j00252,Database Admin,comp006,2025/02/12,Internship,"Montreal, QC",req00252,sal00252
j00253,Data Analyst,comp151,2024/10/29,Full Time,"Vancouver, BC",req00253,sal00253
j00254,Data Analyst,comp142,10-03-2024,Part-Time,"Toronto, ON",req00254,sal00254
j00255,Machine Learning Engineer,comp059,05-23-2024,F/T,"Calgary, AB",req00255,sal00255
j00256,Machine Learning Engineer,comp151,07-22-2024,Internship,"Ottawa, ON",req00256,sal00256
j00257,Data Analyst,comp057,08-28-2024,Contract,"Vancouver, BC",req00257,sal00257
j00258,Analytics Manager,comp002,Sep 30 2024,FT,Remote,req00258,sal00258
j00259,Machine Learning Engineer,comp019,Sep 06 2024,Full Time,"Calgary, AB",req00259,sal00259
j00260,Data Engineer,comp182,Sep 22 2024,Part-Time,"Montreal, QC",req00260,sal00260
j00261,Data Analyst,comp162,May 16 2024,Internship,Remote,req00261,sal00261
j00262,Statistician,comp016,11-06-2024,F/T,"Ottawa, ON",req00262,sal00262
j00263,Statistician,comp059,Sep 01 2024,Full Time,"Vancouver, BC",req00263,sal00263
j00264,Statistician,comp018,2024/08/09,Part-Time,"Toronto, ON",req00264,sal00264
j00265,Data Analyst,comp009,Aug 27 2024,Part-Time,"Ottawa, ON",req00265,sal00265
j00266,BI Developer,comp085,Apr 04 2025,Full Time,"Edmonton, AB",req00266,sal00266
j00267,Statistician,comp019,2024/10/04,F/T,"Montreal, QC",req00267,sal00267
j00268,Data Analyst,comp132,2025/01/23,FT,"Toronto, ON",req00268,sal00268
j00269,Database Admin,comp061,05-03-2024,F/T,"Ottawa, ON",req00269,sal00269
j00270,BI Developer,comp072,02-14-2025,Internship,"Ottawa, ON",req00270,sal00270
j00271,Analytics Manager,comp172,Mar 19 2025,Internship,"Montreal, QC",req00271,sal00271
j00272,Data Scientist,comp125,11-12-2024,Part-Time,Remote,req00272,sal00272
j00273,Analytics Manager,comp055,2024/07/04,Part-Time,"Calgary, AB",req00273,sal00273
j00274,BI Developer,comp139,02-22-2025,Contract,"Edmonton, AB",req00274,sal00274
j00275,BI Developer,comp034,Apr 27 2024,Part-Time,"Ottawa, ON",req00275,sal00275
j00276,Machine Learning Engineer,comp186,May 22 2024,F/T,"Edmonton, AB",req00276,sal00276
j00277,Analytics Manager,comp147,2024/10/14,Internship,Remote,req00277,sal00277
j00278,Data Analyst,comp148,05-03-2024,Full Time,"Ottawa, ON",req00278,sal00278
j00279,Data Engineer,comp122,Feb 27 2025,Full Time,"Toronto, ON",req00279,sal00279
j00280,Database Admin,comp063,2024/07/14,Full Time,"Vancouver, BC",req00280,sal00280
j00281,Machine Learning Engineer,comp122,2024/06/13,F/T,"Calgary, AB",req00281,sal00281
j00282,Data Analyst,comp105,Sep 16 2024,Full Time,"Calgary, AB",req00282,sal00282
j00283,AI Specialist,comp049,03-06-2025,FT,"Toronto, ON",req00283,sal00283
j00284,Data Engineer,comp025,May 27 2024,F/T,"Calgary, AB",req00284,sal00284
j00285,Data Engineer,comp025,05-09-2024,Internship,"Toronto, ON",req00285,sal00285
j00286,Data Scientist,comp169,2024/09/06,Full Time,"Ottawa, ON",req00286,sal00286
j00287,Analytics Manager,comp111,2025/01/22,Internship,"Calgary, AB",req00287,sal00287
j00288,Data Scientist,comp091,10-09-2024,FT,"Edmonton, AB",req00288,sal00288
j00289,Data Scientist,comp109,08-14-2024,Full Time,"Montreal, QC",req00289,sal00289
j00290,Data Engineer,comp106,2025/01/05,Part-Time,Remote,req00290,sal00290
j00291,Database Admin,comp120,09-19-2024,Contract,"Edmonton, AB",req00291,sal00291
j00292,Data Scientist,comp187,2024/12/22,Internship,"Ottawa, ON",req00292,sal00292
j00293,Data Scientist,comp014,06-25-2024,Internship,Remote,req00293,sal00293
j00294,Data Engineer,comp173,Oct 02 2024,Contract,"Edmonton, AB",req00294,sal00294
j00295,Data Engineer,comp168,2025/02/05,Part-Time,"Ottawa, ON",req00295,sal00295
j00296,Machine Learning Engineer,comp166,Jul 01 2024,Part-Time,"Ottawa, ON",req00296,sal00296
j00297,Machine Learning Engineer,comp026,Feb 19 2025,Part-Time,"Edmonton, AB",req00297,sal00297
j00298,Analytics Manager,comp016,Oct 28 2024,Internship,"Edmonton, AB",req00298,sal00298
j00299,Statistician,comp104,05-23-2024,Part-Time,"Ottawa, ON",req00299,sal00299
j00300,Statistician,comp187,05-10-2024,Internship,"Toronto, ON",req00300,sal00300
j00301,BI Developer,comp087,May 11 2024,Part-Time,"Ottawa, ON",req00301,sal00301
j00302,BI Developer,comp028,Feb 21 2025,Internship,"Vancouver, BC",req00302,sal00302
j00303,Data Scientist,comp064,06-06-2024,FT,"Calgary, AB",req00303,sal00303
j00304,Analytics Manager,comp050,Jul 11 2024,Internship,Remote,req00304,sal00304
j00305,AI Specialist,comp049,2025/02/21,Part-Time,"Vancouver, BC",req00305,sal00305
j00306,Database Admin,comp138,2024/09/26,Contract,"Ottawa, ON",req00306,sal00306
j00307,Data Scientist,comp115,2024/08/30,Contract,"Edmonton, AB",req00307,sal00307
j00308,BI Developer,comp036,01-04-2025,F/T,"Ottawa, ON",req00308,sal00308
j00309,Analytics Manager,comp109,Mar 13 2025,Full Time,Remote,req00309,sal00309
j00310,Data Analyst,comp047,07-15-2024,Part-Time,"Vancouver, BC",req00310,sal00310
