requirements_id,experience_years,education_level,skills_required
req00050,None,None,"Scala, Communication, Leadership"
req00051,1 year,B.Sc.,"Leadership, SQL, Spark"
req00052,2+,PhD,"Python, Tableau, PowerBI"
req00053,None,BS,"Communication, Hadoop, Spark, SQL, Leadership"
req00054,3-5 yrs,None,"R, Excel, Communication, Leadership"
req00055,at least 2,Bachelor's,"SQL, Communication, Tableau, PowerBI"
req00056,None,B.Sc.,"Excel, Tableau, PowerBI"
req00057,None,None,"Communication, SQL, Scala"
req00058,2+,B.Sc.,"Spark, Excel"
req00059,2+,Bachelor's,"Scala, Excel, Hadoop, Communication"
req00060,2+,None,"Spark, R, Excel, Scala"
req00061,at least 2,PhD,"Hadoop, SQL"
req00062,at least 2,BS,"SQL, Python"
req00063,at least 2,Bachelor's,"Python, Leadership"
req00064,1 year,PhD,"SQL, PowerBI, Hadoop, Leadership, Excel"
req00065,at least 2,MSc,"SQL, Hadoop"
req00066,2+,BS,"PowerBI, Excel, Communication, Tableau"
req00067,None,Bachelor's,"SQL, Hadoop"
req00068,None,Bachelor's,"Leadership, R, Python"
req00069,3-5 yrs,B.Sc.,"R, Tableau, Excel, Python"
req00070,None,BS,"Communication, PowerBI, Leadership"
req00071,1 year,MSc,"Hadoop, R, PowerBI"
req00072,1 year,MSc,"R, Python, Scala, Leadership, Excel"
req00073,at least 2,PhD,"R, Leadership, PowerBI, Scala, Python"
req00074,2+,BS,"Hadoop, Communication, Excel, R"
req00075,2+,Bachelor's,"PowerBI, SQL"
req00076,3-5 yrs,Bachelor's,"Communication, SQL, PowerBI, Tableau"
req00077,1 year,B.Sc.,"SQL, R, Tableau, Scala, Excel"
req00078,2+,B.Sc.,"Leadership, Python, R, Spark"
req00079,3-5 yrs,MSc,"PowerBI, R"
req00080,at least 2,MSc,"Spark, Python, Leadership"
req00081,3-5 yrs,Bachelor's,"Scala, SQL, Spark"
req00082,None,MSc,"Spark, PowerBI, Hadoop, Leadership, Excel"
req00083,1 year,None,"Scala, Hadoop, Leadership, Communication, Excel"
req00084,3-5 yrs,MSc,"Communication, Scala, R, Leadership"
req00085,2+,MSc,"Leadership, Scala, PowerBI"
req00086,2+,B.Sc.,"Tableau, Leadership"
req00087,3-5 yrs,MSc,"Excel, Python, Leadership, SQL"
req00088,at least 2,B.Sc.,"Excel, PowerBI"
req00089,1 year,Bachelor's,"Hadoop, PowerBI, Communication"
req00090,at least 2,B.Sc.,"Tableau, SQL"
req00091,2+,None,"SQL, Scala, Spark, Excel"
req00092,None,None,"Tableau, Spark, SQL"
req00093,None,PhD,"Communication, Scala, Tableau"
req00094,1 year,PhD,"Scala, Hadoop, Python, Tableau"
req00095,None,BS,"Communication, Tableau"
req00096,1 year,None,"PowerBI, Hadoop, Excel"
req00097,None,None,"Python, Leadership, Scala, Spark, R"
req00098,3-5 yrs,None,"SQL, PowerBI, Python, Leadership"
req00099,3-5 yrs,None,"Excel, Communication"
req00100,3-5 yrs,MSc,"Communication, Hadoop, Tableau, R"
req00101,2+,PhD,"R, Tableau, Excel"
req00102,1 year,None,"Scala, Communication"
req00103,at least 2,B.Sc.,"Scala, Spark, Excel, SQL"
req00104,1 year,PhD,"Scala, Tableau, Spark, Excel, Python"
req00105,None,BS,"Communication, Excel"
req00106,None,PhD,"SQL, Python"
req00107,2+,None,"Communication, Python"
req00108,None,PhD,"Hadoop, Leadership, Excel, Python"
req00109,at least 2,MSc,"SQL, Communication, Excel, Tableau, Leadership"
req00110,1 year,Bachelor's,"Leadership, SQL, Excel"
req00111,1 year,MSc,"Excel, Leadership, Hadoop, Tableau"
req00112,at least 2,PhD,"Excel, PowerBI, SQL, Tableau, Scala"
req00113,None,Bachelor's,"Communication, PowerBI, SQL, Leadership, Scala"
req00114,None,B.Sc.,"PowerBI, Leadership, Excel, SQL, R"
req00115,3-5 yrs,BS,"SQL, Tableau, Excel, Leadership, Spark"
req00116,None,PhD,"Python, SQL, Excel"
req00117,2+,None,"Excel, Scala, Tableau"
req00118,3-5 yrs,Bachelor's,"Scala, Spark, Leadership, PowerBI, Python"
req00119,1 year,BS,"R, Leadership"
req00120,at least 2,B.Sc.,"Communication, Hadoop, Spark, PowerBI, Leadership"
req00121,1 year,PhD,"Tableau, Leadership, Scala, SQL"
req00122,at least 2,None,"SQL, Hadoop, PowerBI, Communication"
req00123,at least 2,BS,"R, SQL, Hadoop, Excel, Spark"
req00124,2+,BS,"Communication, Hadoop, SQL, Tableau, Leadership"
req00125,2+,None,"Hadoop, Scala, Communication, Tableau, PowerBI"
req00126,None,B.Sc.,"Hadoop, PowerBI, Leadership, Spark, Tableau"
req00127,2+,BS,"Spark, Python, Hadoop, Tableau"
req00128,1 year,Bachelor's,"PowerBI, Excel, Python"
req00129,at least 2,PhD,"PowerBI, SQL, Hadoop"
req00130,3-5 yrs,B.Sc.,"PowerBI, SQL, Python, Hadoop, R"
req00131,1 year,BS,"Hadoop, Leadership, SQL"
req00132,1 year,PhD,"Excel, R"
req00133,2+,BS,"Python, SQL, Leadership, Hadoop, PowerBI"
req00134,3-5 yrs,Bachelor's,"Tableau, Communication, Spark"
req00135,None,Bachelor's,"Hadoop, Excel"
req00136,at least 2,Bachelor's,"PowerBI, SQL, Python"
req00137,3-5 yrs,BS,"Tableau, Python"
req00138,at least 2,PhD,"Communication, PowerBI"
req00139,None,None,"R, PowerBI, Python"
req00140,at least 2,Bachelor's,"Communication, Scala"
req00141,None,MSc,"SQL, Tableau, PowerBI, Excel"
req00142,1 year,MSc,"PowerBI, Excel, Spark, Scala, Python"
req00143,1 year,B.Sc.,"Spark, Communication, Tableau"
req00144,2+,Bachelor's,"Communication, Tableau, R, Excel"
req00145,2+,None,"R, Hadoop, Excel"
req00146,1 year,BS,"PowerBI, Tableau, Hadoop, R, Scala"
req00147,2+,PhD,"Tableau, Leadership, PowerBI, R, Python"
req00148,2+,B.Sc.,"PowerBI, SQL, Communication, Python"
req00149,3-5 yrs,MSc,"Scala, Python, Tableau, R, Excel"
req00150,1 year,B.Sc.,"R, PowerBI, Communication, Excel, Hadoop"
req00151,1 year,MSc,"Scala, PowerBI, Leadership, Communication"
req00152,at least 2,Bachelor's,"Hadoop, Leadership"
req00153,2+,B.Sc.,"PowerBI, Hadoop, Spark, Communication"
req00154,2+,MSc,"Communication, Scala, R, Hadoop, SQL"
req00155,None,Bachelor's,"Communication, Leadership, Excel, SQL, Hadoop"
req00156,1 year,PhD,"Scala, Python, Hadoop, Tableau"
req00157,3-5 yrs,B.Sc.,"Excel, SQL, Leadership, Tableau"
req00158,None,B.Sc.,"PowerBI, Leadership, SQL"
req00159,3-5 yrs,B.Sc.,"Spark, PowerBI, R, Tableau, Communication"
req00160,3-5 yrs,Bachelor's,"Scala, PowerBI"
req00161,2+,PhD,"Scala, Communication"
req00162,1 year,B.Sc.,"Leadership, Hadoop"
req00163,2+,PhD,"Scala, R, Hadoop, Python, Leadership"
req00164,3-5 yrs,MSc,"Leadership, Communication, Hadoop"
req00165,at least 2,PhD,"SQL, Python"
req00166,at least 2,PhD,"PowerBI, Spark, Hadoop"
req00167,3-5 yrs,BS,"Excel, Communication"
req00168,1 year,Bachelor's,"Leadership, Tableau, R, Scala"
req00169,1 year,MSc,"R, Leadership, SQL"
req00170,None,B.Sc.,"Leadership, Tableau"
req00171,3-5 yrs,PhD,"Python, Leadership, R, Scala"
req00172,1 year,None,"Python, Excel, Spark"
req00173,3-5 yrs,MSc,"Spark, PowerBI, Leadership"
req00174,2+,BS,"Tableau, PowerBI"
req00175,at least 2,Bachelor's,"R, Scala, PowerBI, Hadoop"
req00176,None,Bachelor's,"Communication, Leadership, Excel, Hadoop, Spark"
req00177,1 year,B.Sc.,"Scala, R"
req00178,3-5 yrs,None,"Python, Communication, PowerBI, Scala"
req00179,1 year,BS,"Tableau, PowerBI, Scala, SQL, Spark"
req00180,1 year,PhD,"R, Spark"
req00181,None,BS,"R, Hadoop, Leadership, Communication, Spark"
req00182,3-5 yrs,PhD,"Excel, PowerBI, Hadoop, Python, Tableau"
req00183,None,MSc,"SQL, Hadoop, R"
req00184,at least 2,None,"Scala, SQL, Excel, Python"
req00185,2+,BS,"Scala, Communication"
req00186,at least 2,BS,"SQL, PowerBI, Spark"
req00187,1 year,B.Sc.,"Excel, Tableau, Python"
req00188,at least 2,B.Sc.,"Python, Excel, Leadership, Tableau"
req00189,2+,BS,"SQL, Scala, Excel, R"
req00190,3-5 yrs,MSc,"SQL, Communication, PowerBI"
req00191,1 year,PhD,"Tableau, SQL, Python"
req00192,3-5 yrs,BS,"SQL, Python, R"
req00193,1 year,MSc,"SQL, Tableau, Scala, R"
req00194,2+,PhD,"Excel, Communication, SQL"
req00195,1 year,BS,"Tableau, Spark, PowerBI, Excel"
req00196,1 year,B.Sc.,"R, Excel, Leadership, SQL"
req00197,3-5 yrs,Bachelor's,"Leadership, Communication, Tableau, R, Excel"
req00198,at least 2,Bachelor's,"Excel, Scala"
req00199,2+,PhD,"R, Python, Tableau"
req00200,2+,None,"Scala, Communication"
req00201,None,MSc,"Leadership, Excel, Hadoop"
req00202,3-5 yrs,B.Sc.,"Python, SQL, Hadoop, Tableau"
req00203,2+,None,"Excel, Spark, PowerBI, Scala"
req00204,2+,Bachelor's,"PowerBI, Scala, R"
req00205,at least 2,Bachelor's,"Scala, Hadoop"
req00206,None,MSc,"Scala, Python"
req00207,1 year,BS,"Leadership, Scala, Tableau, Python"
req00208,None,B.Sc.,"Excel, Python, R, Hadoop"
req00209,2+,None,"Scala, Communication"
req00210,2+,B.Sc.,"Scala, Leadership, Communication, SQL, Excel"
req00211,2+,PhD,"R, Tableau"
req00212,1 year,BS,"Leadership, Communication, Tableau, R, PowerBI"
req00213,at least 2,MSc,"R, Scala"
req00214,at least 2,None,"R, Python, Communication, Hadoop"
req00215,1 year,None,"Scala, Python"
req00216,at least 2,Bachelor's,"Tableau, Python, SQL, Scala, Hadoop"
req00217,2+,B.Sc.,"PowerBI, Spark"
req00218,None,B.Sc.,"Hadoop, SQL"
req00219,None,None,"Tableau, Python, Hadoop, R"
req00220,at least 2,Bachelor's,"SQL, Spark, R"
req00221,None,PhD,"Excel, Tableau, SQL, Python, Spark"
req00222,1 year,B.Sc.,"PowerBI, Tableau, Spark, R"
req00223,at least 2,MSc,"SQL, PowerBI, Tableau, Hadoop"
req00224,3-5 yrs,BS,"Python, Tableau"
req00225,3-5 yrs,B.Sc.,"PowerBI, Scala, Leadership, Spark"
req00226,None,PhD,"Hadoop, R, Spark"
req00227,1 year,MSc,"Spark, Scala, Leadership, SQL"
req00228,3-5 yrs,Bachelor's,"Hadoop, Scala"
req00229,3-5 yrs,PhD,"Scala, Spark, R, Tableau"
req00230,2+,PhD,"R, PowerBI, SQL, Hadoop, Tableau"
req00231,2+,BS,"Tableau, Communication, Hadoop, Scala"
req00232,2+,None,"SQL, Python, Leadership, Excel"
req00233,3-5 yrs,B.Sc.,"SQL, Leadership, Spark, PowerBI, Hadoop"
req00234,2+,None,"PowerBI, Scala, Excel"
req00235,1 year,B.Sc.,"Excel, R, SQL"
req00236,3-5 yrs,BS,"Excel, Hadoop, Scala, Tableau, Leadership"
req00237,at least 2,None,"Tableau, Spark"
req00238,1 year,B.Sc.,"PowerBI, Spark, Leadership"
req00239,2+,B.Sc.,"Communication, PowerBI, Python, SQL, Hadoop"
req00240,2+,BS,"Python, Communication, PowerBI, Tableau"
req00241,2+,Bachelor's,"R, Leadership, Hadoop, Spark, Tableau"
req00242,3-5 yrs,PhD,"Communication, Excel, SQL"
req00243,at least 2,B.Sc.,"SQL, Spark, Hadoop, Python"
req00244,3-5 yrs,B.Sc.,"Excel, Leadership"
req00245,at least 2,Bachelor's,"Python, Leadership, Hadoop, SQL, Scala"
req00246,None,B.Sc.,"SQL, Excel, Tableau, PowerBI, Python"
req00247,at least 2,B.Sc.,"PowerBI, Spark"
req00248,None,BS,"Spark, Leadership, SQL, PowerBI"
req00249,2+,Bachelor's,"Hadoop, Tableau, SQL"
req00250,at least 2,Bachelor's,"Communication, Python, Spark"
req00251,1 year,BS,"SQL, Spark, Python"
req00252,None,Bachelor's,"SQL, Excel"
req00253,3-5 yrs,MSc,"Tableau, Hadoop, Leadership, Communication"
req00254,3-5 yrs,BS,"SQL, R, Tableau, Leadership, Excel"
req00255,1 year,None,"Excel, Spark, Tableau"
req00256,2+,Bachelor's,"Excel, Hadoop"
req00257,at least 2,Bachelor's,"Spark, PowerBI"
req00258,1 year,MSc,"Excel, Spark, Leadership"
req00259,2+,PhD,"Hadoop, Spark, Leadership, Scala"
req00260,3-5 yrs,MSc,"PowerBI, Python, Scala, Spark, Communication"
req00261,None,Bachelor's,"Scala, Python"
req00262,at least 2,None,"Scala, Hadoop, Spark"
req00263,None,Bachelor's,"Hadoop, Tableau, Spark"
req00264,at least 2,Bachelor's,"Communication, Spark"
req00265,None,Bachelor's,"PowerBI, Hadoop, Excel, Python"
req00266,1 year,None,"Spark, Scala, SQL, Communication, Excel"
req00267,None,None,"Leadership, Scala, Excel, Hadoop, PowerBI"
req00268,at least 2,MSc,"Excel, Communication"
req00269,None,BS,"SQL, Spark, Excel, PowerBI"
req00270,3-5 yrs,BS,"SQL, R, Communication"
req00271,1 year,PhD,"PowerBI, Scala, SQL, Leadership, Python"
req00272,at least 2,BS,"PowerBI, Python, SQL, Hadoop, Communication"
req00273,None,MSc,"Hadoop, PowerBI, Python, Leadership, Tableau"
req00274,at least 2,MSc,"Tableau, R, SQL, Python"
req00275,at least 2,PhD,"Hadoop, PowerBI, Tableau"
req00276,None,MSc,"Tableau, Communication"
req00277,2+,B.Sc.,"Leadership, Excel, Communication"
req00278,None,PhD,"Excel, Communication, Python, PowerBI"
req00279,2+,None,"Hadoop, R"
req00280,at least 2,BS,"Communication, Leadership"
req00281,None,PhD,"Scala, R"
req00282,2+,B.Sc.,"Scala, Communication"
req00283,None,Bachelor's,"PowerBI, Spark, Leadership, Python"
req00284,3-5 yrs,MSc,"Hadoop, Tableau, Scala"
req00285,None,None,"Hadoop, R, Tableau, Communication"
req00286,None,Bachelor's,"Tableau, PowerBI, Spark"
req00287,3-5 yrs,BS,"Leadership, SQL, Spark, Communication"
req00288,at least 2,B.Sc.,"Communication, Spark, PowerBI"
req00289,2+,MSc,"Communication, Scala, Python, Spark, Tableau"
req00290,1 year,BS,"Leadership, Hadoop, PowerBI, Python"
req00291,2+,MSc,"Spark, Hadoop, Tableau, Python, Leadership"
req00292,1 year,B.Sc.,"R, Excel, Spark"
req00293,2+,PhD,"Scala, Python, Tableau"
req00294,3-5 yrs,None,"Spark, Python, Communication"
req00295,2+,BS,"Python, Tableau, Hadoop"
req00296,1 year,PhD,"Python, Spark"
req00297,1 year,B.Sc.,"Communication, Tableau"
req00298,3-5 yrs,B.Sc.,"PowerBI, R, Scala, Spark"
req00299,None,BS,"Spark, Scala, Communication, Hadoop"
req00300,1 year,None,"Communication, Python"
req00301,1 year,None,"Scala, Communication, Tableau, SQL"
req00302,3-5 yrs,B.Sc.,"Hadoop, Spark, Communication, Tableau"
req00303,at least 2,Bachelor's,"Communication, Python, Leadership, Excel"
req00304,None,PhD,"Excel, Spark, Scala"
req00305,1 year,BS,"PowerBI, Communication"
req00306,2+,BS,"Python, Tableau, Spark, SQL, Leadership"
req00307,None,BS,"Spark, Leadership"
req00308,None,B.Sc.,"Leadership, Excel"
req00309,2+,None,"Python, Scala, R, Tableau"
req00310,2+,BS,"Excel, R, Scala, SQL"
req00311,1 year,PhD,"Python, Leadership, Communication"
req00312,2+,B.Sc.,"Leadership, Excel, Scala"
req00313,None,PhD,"Communication, Leadership, Spark"
req00314,at least 2,None,"Scala, Tableau, R, Excel"
req00315,2+,PhD,"Hadoop, R, PowerBI, Communication"
req00316,3-5 yrs,PhD,"Leadership, Excel, SQL"
req00317,None,MSc,"Excel, Scala, SQL"
req00318,2+,None,"PowerBI, Communication, Scala"
req00319,2+,None,"SQL, PowerBI, Hadoop, Scala"
req00320,3-5 yrs,BS,"Excel, Communication, Scala, PowerBI, Python"
req00321,2+,MSc,"SQL, Python, Communication, Leadership"
req00322,3-5 yrs,PhD,"R, Leadership"
req00323,None,Bachelor's,"Tableau, Excel, Hadoop, Python"
req00324,2+,None,"Spark, Tableau, Hadoop, Excel, Scala"
req00325,at least 2,MSc,"PowerBI, Tableau, SQL, Python, Communication"
req00326,1 year,MSc,"Spark, Excel, SQL"
req00327,1 year,BS,"Hadoop, Scala, PowerBI, Communication, Spark"
req00328,3-5 yrs,BS,"Python, Tableau, Communication, R, SQL"
req00329,1 year,B.Sc.,"Scala, SQL, PowerBI"
req00330,at least 2,B.Sc.,"Python, Communication, R, Scala, Excel"
req00331,at least 2,None,"Excel, Hadoop, Spark, Leadership, R"
req00332,2+,Bachelor's,"PowerBI, SQL"
req00333,None,BS,"R, Hadoop, Excel, SQL, Spark"
req00334,3-5 yrs,None,"Hadoop, Scala, R"
req00335,1 year,MSc,"Communication, Tableau"
req00336,1 year,MSc,"PowerBI, Communication, SQL, Excel, R"
req00337,2+,B.Sc.,"Python, PowerBI, Scala, R, Communication"
req00338,1 year,MSc,"Communication, PowerBI, SQL, R, Excel"
req00339,1 year,PhD,"R, Python, Hadoop"
req00340,at least 2,PhD,"SQL, Python, Leadership"
req00341,3-5 yrs,None,"SQL, Spark, Tableau, Leadership, Python"
req00342,1 year,B.Sc.,"PowerBI, Communication, Spark, Scala, Excel"
req00343,3-5 yrs,None,"Excel, PowerBI, Hadoop"
req00344,1 year,B.Sc.,"Communication, PowerBI"
req00345,2+,B.Sc.,"Python, Leadership, Spark, Communication"
req00346,None,MSc,"SQL, PowerBI"
req00347,at least 2,None,"Scala, Tableau, SQL, Excel"
req00348,at least 2,None,"Tableau, R, Communication, Spark, Scala"
req00349,2+,None,"Spark, Python"
req00350,1 year,None,"SQL, R, Hadoop, Leadership, Communication"
req00351,1 year,B.Sc.,"Spark, SQL, Hadoop"
req00352,None,MSc,"Hadoop, Tableau"
req00353,None,PhD,"Excel, Hadoop, SQL, R, Communication"
req00354,1 year,B.Sc.,"Python, Leadership, Excel, Scala"
req00355,at least 2,None,"Python, PowerBI, Hadoop, SQL"
req00356,None,MSc,"R, Scala, Communication"
req00357,1 year,BS,"SQL, Leadership, Excel, R"
req00358,3-5 yrs,BS,"Hadoop, SQL, Excel, R, Scala"
req00359,2+,B.Sc.,"R, Python, PowerBI, Scala, Excel"
req00360,None,PhD,"SQL, Communication, Spark, Excel"
req00361,None,B.Sc.,"Tableau, PowerBI, Hadoop"
req00362,1 year,None,"R, Python, Leadership, PowerBI, Communication"
req00363,1 year,BS,"Tableau, PowerBI, Excel"
req00364,3-5 yrs,B.Sc.,"Scala, R, Tableau"
req00365,None,MSc,"SQL, Tableau, Excel"
req00366,2+,None,"Spark, Scala"
req00367,1 year,BS,"Hadoop, Excel"
req00368,None,None,"Python, Hadoop, Spark, Excel"
req00369,None,PhD,"Hadoop, Leadership, Spark, Excel, PowerBI"
req00370,1 year,BS,"Communication, Spark, Hadoop, Tableau"
req00371,2+,Bachelor's,"SQL, PowerBI, Communication"
req00372,1 year,PhD,"Python, Hadoop, Tableau, R"
req00373,at least 2,PhD,"Scala, R"
req00374,2+,MSc,"Python, Leadership, Communication, PowerBI, Hadoop"
req00375,3-5 yrs,B.Sc.,"Spark, Hadoop, PowerBI, Leadership, Scala"
req00376,3-5 yrs,MSc,"Scala, Communication, Leadership"
req00377,1 year,None,"Communication, SQL"
req00378,None,PhD,"Python, PowerBI"
req00379,3-5 yrs,None,"SQL, Python"
req00380,1 year,MSc,"Communication, Hadoop, Python, Excel"
req00381,1 year,None,"Python, SQL, PowerBI"
req00382,at least 2,MSc,"Communication, Tableau, Leadership"
req00383,at least 2,BS,"Excel, Leadership, Spark, Tableau"
req00384,3-5 yrs,Bachelor's,"Python, Excel, Scala"
req00385,1 year,MSc,"Tableau, Spark, Leadership, Scala"
req00386,3-5 yrs,PhD,"Hadoop, SQL, Leadership"
req00387,1 year,Bachelor's,"Python, Spark, R, Scala, Leadership"
req00388,None,MSc,"Tableau, Excel, Python, Communication"
req00389,None,BS,"R, Leadership, Hadoop, Scala, Spark"
req00390,3-5 yrs,B.Sc.,"Spark, Python"
req00391,at least 2,Bachelor's,"Leadership, PowerBI, Scala"
req00392,3-5 yrs,B.Sc.,"SQL, Communication"
req00393,at least 2,BS,"Python, Spark, Scala"
req00394,None,MSc,"SQL, Scala, Excel"
req00395,1 year,BS,"Hadoop, Leadership"
req00396,1 year,B.Sc.,"Python, Spark"
req00397,2+,B.Sc.,"Spark, Scala, PowerBI, Excel, Leadership"
req00398,3-5 yrs,Bachelor's,"Scala, Spark, PowerBI, Communication, Python"
req00399,2+,PhD,"Leadership, Python, Hadoop"
req00400,1 year,Bachelor's,"R, Excel, PowerBI, Tableau, SQL"
req00401,3-5 yrs,B.Sc.,"Scala, Communication, Tableau, Spark, SQL"
req00402,2+,Bachelor's,"Leadership, Python, PowerBI"
req00403,2+,MSc,"Excel, Communication, Python, Spark"
req00404,None,BS,"Scala, Tableau"
req00405,2+,None,"Excel, Hadoop, Leadership, Spark, Scala"
req00406,1 year,Bachelor's,"Communication, SQL, R, Python"
req00407,3-5 yrs,B.Sc.,"SQL, Python, Leadership"
req00408,None,PhD,"Communication, SQL, PowerBI, Excel"
req00409,2+,None,"Leadership, Excel, Spark, R"
req00410,None,Bachelor's,"R, Python, Communication"
req00411,2+,Bachelor's,"Spark, SQL, PowerBI, Tableau"
req00412,None,MSc,"Scala, Excel, Spark, PowerBI"
req00413,2+,None,"Excel, R, SQL, Scala, Communication"
req00414,2+,None,"Tableau, Excel, R, Leadership"
req00415,2+,BS,"Leadership, PowerBI, Excel, Hadoop"
req00416,3-5 yrs,Bachelor's,"Scala, PowerBI, Excel, Spark, Communication"
req00417,None,B.Sc.,"Scala, Python, Tableau, R, PowerBI"
req00418,at least 2,MSc,"PowerBI, R, SQL, Leadership"
req00419,2+,MSc,"Leadership, Excel, Python, Tableau"
req00420,3-5 yrs,None,"SQL, Leadership, Tableau"
req00421,at least 2,MSc,"R, Excel, Leadership"
req00422,2+,BS,"Hadoop, SQL, Excel"
req00423,at least 2,Bachelor's,"Scala, SQL, Hadoop, Spark"
req00424,2+,PhD,"Excel, PowerBI, Leadership"
req00425,3-5 yrs,Bachelor's,"Communication, Leadership, Spark, SQL, PowerBI"
req00426,at least 2,PhD,"Python, Excel, Leadership, PowerBI, SQL"
req00427,1 year,B.Sc.,"PowerBI, Spark, Python, Excel, Communication"
req00428,None,None,"Leadership, Communication, Hadoop"
req00429,2+,PhD,"PowerBI, Excel, SQL, Hadoop, Scala"
req00430,None,BS,"Python, Communication, Scala, Leadership"
req00431,1 year,Bachelor's,"PowerBI, Spark, SQL"
req00432,at least 2,B.Sc.,"R, Hadoop, Tableau, PowerBI, Scala"
req00433,3-5 yrs,Bachelor's,"Leadership, Tableau, PowerBI, SQL, R"
req00434,2+,MSc,"Python, PowerBI, Spark"
req00435,at least 2,MSc,"Hadoop, R, SQL"
req00436,at least 2,B.Sc.,"Tableau, SQL"
req00437,2+,PhD,"PowerBI, Leadership"
req00438,1 year,MSc,"Communication, PowerBI"
req00439,None,None,"Leadership, Tableau, PowerBI, Python"
req00440,at least 2,None,"Communication, Hadoop, R"
req00441,2+,MSc,"Hadoop, Spark, Excel"
req00442,3-5 yrs,None,"Excel, Communication, Python"
req00443,1 year,MSc,"Spark, Excel, Python"
req00444,2+,MSc,"Spark, R"
req00445,at least 2,BS,"Python, R, Leadership, Hadoop, PowerBI"
req00446,3-5 yrs,PhD,"Communication, Hadoop, Spark, R"
req00447,None,B.Sc.,"Hadoop, Python, Scala"
req00448,1 year,PhD,"Tableau, R, SQL, Leadership, Python"
req00449,1 year,BS,"Hadoop, SQL, Python"
req00450,2+,B.Sc.,"Leadership, Tableau, Python"
req00451,3-5 yrs,PhD,"Communication, SQL, Hadoop, PowerBI, R"
req00452,3-5 yrs,PhD,"Hadoop, Leadership"
req00453,1 year,PhD,"Spark, Python, R, Tableau, Communication"
req00454,at least 2,None,"Scala, Excel, SQL"
req00455,3-5 yrs,MSc,"Python, R"
req00456,at least 2,PhD,"R, Hadoop, SQL, Leadership, Communication"
req00457,at least 2,BS,"Scala, Hadoop, PowerBI, R, Excel"
req00458,at least 2,BS,"Tableau, Spark, Leadership, Scala, Hadoop"
req00459,3-5 yrs,B.Sc.,"R, Tableau"
req00460,1 year,PhD,"Spark, Communication, SQL, Excel, PowerBI"
req00461,at least 2,MSc,"Python, PowerBI, Communication, Hadoop, R"
req00462,2+,MSc,"Spark, R, Python, SQL"
req00463,at least 2,B.Sc.,"Excel, Hadoop"
req00464,at least 2,B.Sc.,"SQL, Spark, PowerBI"
