credit_history_id,borrower_id,account_type,account_age_months,credit_limit,balance_owed,payment_history_score,num_late_payments,num_derogatory_marks,inquiry_last_6months
CH000195,B0044,Credit Card,218,10000,21050,Good,1,0,4
CH000196,B0044,Auto Loan,193,50000,23978,Fair,0,0,4
CH000197,B0044,Personal Loan,89,10000,23925,Excellent,0,0,6
CH000198,B0045,Student Loan,18,50000,26155,Poor,1,0,3
CH000199,B0045,Credit Card,41,25000,13461,Good,0,0,1
CH000200,B0045,Credit Card,36,15000,4826,Good,0,0,4
CH000201,B0045,Student Loan,198,10000,5443,Good,0,1,4
CH000202,B0045,Student Loan,74,15000,9452,Good,0,0,5
CH000203,B0045,Credit Card,193,25000,7274,Fair,5,2,0
CH000204,B0046,Personal Loan,127,50000,23490,Excellent,1,1,2
CH000205,B0046,Credit Card,204,10000,10255,Good,1,0,6
CH000206,B0047,Personal Loan,11,10000,25594,Good,1,0,2
CH000207,B0047,Personal Loan,173,15000,8785,Poor,10,0,5
CH000208,B0047,Auto Loan,70,25000,14274,Excellent,0,0,6
CH000209,B0047,Auto Loan,132,1000,2256,Excellent,0,0,1
CH000210,B0047,Credit Card,195,10000,17897,Good,5,1,5
CH000211,B0048,Auto Loan,97,15000,3275,Poor,0,0,1
CH000212,B0048,Auto Loan,185,15000,4764,Fair,0,0,0
CH000213,B0048,Credit Card,236,5000,4316,Excellent,0,0,3
CH000214,B0048,Auto Loan,193,50000,23940,Excellent,0,0,7
CH000215,B0048,Mortgage,52,1000,25538,Excellent,0,2,4
CH000216,B0049,Credit Card,175,10000,5213,Good,2,2,3
CH000217,B0049,Credit Card,164,10000,2708,Good,1,0,1
CH000218,B0049,Auto Loan,105,1000,3770,Excellent,3,0,0
CH000219,B0049,Student Loan,21,25000,13973,Fair,0,0,2
CH000220,B0049,Auto Loan,67,15000,3535,Good,0,0,1
CH000221,B0050,Student Loan,93,5000,21493,Good,2,0,1
CH000222,B0050,Auto Loan,86,25000,236,Excellent,3,0,1
CH000223,B0051,Personal Loan,81,1000,6339,Fair,0,0,4
CH000224,B0051,Credit Card,138,50000,6961,Excellent,0,0,7
CH000225,B0051,Credit Card,50,15000,15131,Good,5,1,4
CH000226,B0052,Auto Loan,126,50000,11643,Good,0,0,4
CH000227,B0052,Personal Loan,136,5000,13074,Good,3,0,4
CH000228,B0052,Mortgage,69,15000,17729,Excellent,1,0,2
CH000229,B0052,Personal Loan,8,25000,1740,Good,2,1,7
CH000230,B0052,Credit Card,45,2500,961,Excellent,0,0,7
CH000231,B0052,Mortgage,118,15000,25350,Excellent,0,0,3
CH000232,B0053,Auto Loan,212,15000,24855,Good,5,0,1
CH000233,B0053,Mortgage,71,25000,13384,Excellent,0,0,5
CH000234,B0053,Credit Card,211,2500,8108,Good,1,0,2
CH000235,B0053,Mortgage,203,15000,594,Good,0,0,7
CH000236,B0053,Auto Loan,180,10000,10653,Good,0,0,4
CH000237,B0053,Credit Card,137,1000,17293,Fair,1,0,1
CH000238,B0054,Mortgage,134,2500,10135,Poor,0,0,1
CH000239,B0054,Personal Loan,159,5000,19122,Excellent,1,0,7
CH000240,B0054,Credit Card,140,15000,29299,Fair,2,0,5
CH000241,B0054,Student Loan,15,15000,18413,Excellent,2,0,7
CH000242,B0054,Auto Loan,146,2500,13156,Excellent,1,0,0
CH000243,B0054,Mortgage,49,25000,29420,Good,1,1,5
CH000244,B0055,Auto Loan,93,1000,1561,Excellent,0,0,2
CH000245,B0055,Student Loan,197,25000,22244,Fair,1,0,4
CH000246,B0055,Credit Card,136,25000,13054,Excellent,0,1,0
CH000247,B0055,Personal Loan,85,50000,21801,Excellent,1,0,0
CH000248,B0055,Student Loan,170,2500,25475,Excellent,2,0,5
CH000249,B0056,Mortgage,207,25000,18688,Excellent,1,2,2
CH000250,B0056,Credit Card,145,50000,24104,Fair,0,1,7
CH000251,B0056,Personal Loan,153,50000,16738,Good,2,0,4
CH000252,B0056,Mortgage,125,5000,4422,Good,0,3,4
CH000253,B0057,Mortgage,105,1000,26532,Good,1,2,3
CH000254,B0057,Auto Loan,153,1000,15779,Good,0,0,0
CH000255,B0057,Credit Card,89,15000,19935,Excellent,0,0,5
CH000256,B0057,Student Loan,6,10000,24312,Excellent,0,0,0
CH000257,B0058,Student Loan,119,25000,8408,Good,2,1,1
CH000258,B0058,Personal Loan,201,2500,22058,Excellent,1,0,7
CH000259,B0058,Mortgage,133,2500,20644,Good,1,0,3
CH000260,B0058,Auto Loan,233,50000,21087,Fair,2,0,6
CH000261,B0058,Mortgage,162,10000,11698,Good,0,1,7
CH000262,B0058,Auto Loan,61,50000,17510,Fair,1,2,3
CH000263,B0059,Personal Loan,70,50000,10216,Fair,2,1,1
CH000264,B0059,Student Loan,111,15000,3646,Excellent,0,1,7
CH000265,B0059,Mortgage,190,2500,29403,Good,5,0,6
CH000266,B0059,Personal Loan,147,2500,455,Excellent,0,0,0
CH000267,B0059,Credit Card,238,25000,6387,Poor,1,0,4
CH000268,B0059,Personal Loan,146,5000,15195,Excellent,1,0,5
CH000269,B0060,Student Loan,210,50000,5400,Good,2,1,5
CH000270,B0060,Credit Card,109,2500,7269,Good,3,0,7
CH000271,B0061,Auto Loan,36,10000,24486,Excellent,0,1,5
CH000272,B0061,Auto Loan,160,10000,4561,Fair,0,1,0
CH000273,B0061,Auto Loan,33,1000,2124,Fair,0,0,3
CH000274,B0061,Personal Loan,127,1000,12319,Good,2,0,7
CH000275,B0061,Student Loan,229,50000,7440,Excellent,2,0,1
CH000276,B0062,Student Loan,22,10000,4090,Poor,0,0,0
CH000277,B0062,Credit Card,190,2500,27482,Excellent,0,3,0
CH000278,B0063,Student Loan,113,1000,28832,Poor,3,2,6
CH000279,B0063,Auto Loan,35,1000,14892,Excellent,2,0,3
CH000280,B0063,Personal Loan,37,10000,26892,Excellent,0,0,5
CH000281,B0063,Auto Loan,33,2500,4481,Good,3,0,1
CH000282,B0063,Student Loan,111,10000,8567,Excellent,1,1,4
CH000283,B0063,Credit Card,57,5000,20972,Fair,2,1,7
CH000284,B0063,Student Loan,161,15000,26092,Good,0,0,1
CH000285,B0064,Auto Loan,176,5000,27009,Poor,2,1,1
CH000286,B0064,Mortgage,167,15000,3029,Poor,1,0,3
CH000287,B0064,Student Loan,187,50000,17296,Fair,1,0,5
CH000288,B0065,Credit Card,168,25000,7824,Good,2,0,0
CH000289,B0065,Credit Card,55,1000,17892,Excellent,1,1,1
CH000290,B0065,Personal Loan,19,5000,2682,Poor,0,2,2
CH000291,B0065,Student Loan,73,1000,15946,Fair,1,0,1
CH000292,B0065,Mortgage,36,5000,11383,Excellent,0,0,5
CH000293,B0065,Auto Loan,159,5000,5767,Poor,1,0,2
CH000294,B0065,Credit Card,146,50000,15051,Good,1,0,0
CH000295,B0066,Auto Loan,114,1000,27417,Excellent,3,0,5
CH000296,B0066,Personal Loan,13,25000,18620,Poor,0,0,6
CH000297,B0066,Mortgage,192,25000,8391,Good,0,0,0
CH000298,B0067,Student Loan,184,15000,14134,Good,0,0,4
CH000299,B0067,Auto Loan,216,1000,19844,Excellent,0,0,7
CH000300,B0067,Mortgage,212,15000,26252,Excellent,3,1,2
CH000301,B0067,Mortgage,178,15000,15225,Good,0,3,6
CH000302,B0067,Student Loan,167,5000,14598,Excellent,5,0,0
CH000303,B0068,Credit Card,23,10000,8050,Excellent,1,0,7
CH000304,B0068,Student Loan,113,1000,7450,Fair,0,0,0
CH000305,B0068,Credit Card,54,10000,19280,Good,1,0,6
CH000306,B0068,Credit Card,195,25000,3413,Excellent,0,0,1
CH000307,B0069,Credit Card,178,5000,21725,Fair,0,0,6
CH000308,B0070,Auto Loan,203,5000,11167,Poor,0,3,7
CH000309,B0071,Mortgage,132,50000,21004,Excellent,2,0,0
CH000310,B0071,Student Loan,69,50000,29393,Excellent,1,0,3
CH000311,B0071,Student Loan,9,1000,17309,Fair,1,0,6
CH000312,B0071,Auto Loan,82,25000,4231,Poor,0,0,5
CH000313,B0071,Student Loan,183,5000,9335,Fair,0,2,6
CH000314,B0071,Personal Loan,43,10000,10967,Fair,0,0,7
CH000315,B0071,Mortgage,150,1000,3832,Good,2,1,2
CH000316,B0072,Mortgage,132,1000,21555,Good,0,1,0
CH000317,B0072,Auto Loan,206,1000,17868,Excellent,0,0,1
CH000318,B0072,Auto Loan,80,25000,3751,Good,0,0,0
CH000319,B0072,Student Loan,40,5000,2094,Fair,0,0,1
CH000320,B0072,Personal Loan,117,1000,3299,Good,0,0,3
CH000321,B0072,Personal Loan,90,5000,19990,Excellent,0,0,3
CH000322,B0073,Auto Loan,117,15000,10995,Excellent,2,0,7
CH000323,B0073,Personal Loan,218,10000,1942,Fair,1,2,5
CH000324,B0073,Personal Loan,67,50000,17564,Good,0,0,1
CH000325,B0074,Auto Loan,136,15000,20471,Fair,2,0,1
CH000326,B0074,Credit Card,118,5000,25521,Excellent,0,0,4
CH000327,B0074,Mortgage,180,5000,22754,Fair,1,1,1
CH000328,B0074,Credit Card,30,5000,21894,Good,0,0,3
CH000329,B0074,Mortgage,11,1000,21662,Excellent,2,0,0
CH000330,B0074,Auto Loan,90,1000,12055,Excellent,0,2,1
CH000331,B0074,Mortgage,86,10000,5644,Good,1,2,5
CH000332,B0075,Mortgage,196,15000,16488,Excellent,0,1,2
CH000333,B0075,Auto Loan,88,15000,4537,Excellent,3,0,3
CH000334,B0075,Credit Card,239,15000,19968,Fair,1,3,6
CH000335,B0075,Credit Card,31,10000,27724,Poor,1,0,3
CH000336,B0076,Mortgage,164,25000,7434,Excellent,1,0,2
CH000337,B0076,Student Loan,150,10000,16603,Excellent,2,2,7
CH000338,B0076,Mortgage,35,25000,12025,Excellent,1,2,3
CH000339,B0076,Personal Loan,95,10000,14219,Excellent,3,0,4
CH000340,B0076,Mortgage,29,2500,26567,Excellent,1,0,5
CH000341,B0076,Personal Loan,54,25000,6733,Good,2,3,1
CH000342,B0077,Credit Card,165,1000,3534,Good,0,0,4
CH000343,B0077,Auto Loan,88,50000,12907,Fair,0,0,3
CH000344,B0078,Auto Loan,99,1000,9821,Good,2,3,7
CH000345,B0078,Auto Loan,77,25000,4382,Good,1,0,2
CH000346,B0078,Credit Card,30,5000,27460,Fair,0,0,3
CH000347,B0078,Mortgage,236,5000,29159,Good,0,0,3
CH000348,B0078,Student Loan,43,10000,5012,Good,3,0,6
CH000349,B0078,Student Loan,136,5000,2606,Good,0,0,2
CH000350,B0078,Student Loan,7,1000,5922,Fair,0,1,4
CH000351,B0079,Mortgage,117,25000,27476,Poor,2,2,4
CH000352,B0079,Credit Card,122,2500,11412,Good,0,1,0
CH000353,B0079,Credit Card,29,1000,13861,Excellent,0,0,1
CH000354,B0079,Mortgage,100,2500,26646,Good,0,0,0
CH000355,B0079,Student Loan,210,15000,17600,Excellent,3,1,1
CH000356,B0079,Student Loan,159,50000,23246,Good,0,0,2
CH000357,B0079,Student Loan,207,25000,12084,Fair,2,0,2
CH000358,B0080,Auto Loan,9,15000,22595,Excellent,0,0,2
CH000359,B0080,Personal Loan,167,25000,3447,Excellent,0,0,6
CH000360,B0080,Personal Loan,149,2500,9445,Good,0,0,5
CH000361,B0080,Mortgage,204,5000,10712,Good,0,3,1
CH000362,B0080,Student Loan,92,5000,4204,Fair,0,0,5
CH000363,B0080,Personal Loan,59,15000,11877,Excellent,0,0,5
CH000364,B0080,Personal Loan,78,50000,10407,Excellent,0,0,0
CH000365,B0081,Mortgage,39,25000,8753,Good,2,0,5
CH000366,B0081,Mortgage,59,5000,7248,Excellent,0,2,0
CH000367,B0081,Mortgage,230,5000,10230,Excellent,0,1,1
CH000368,B0081,Auto Loan,209,2500,22540,Excellent,0,0,3
CH000369,B0081,Personal Loan,8,25000,19930,Excellent,0,0,7
CH000370,B0081,Mortgage,195,1000,13123,Excellent,1,0,3
CH000371,B0081,Credit Card,221,15000,12008,Fair,1,0,6
CH000372,B0082,Credit Card,31,1000,20030,Good,2,0,4
CH000373,B0082,Credit Card,203,10000,27308,Fair,0,0,5
CH000374,B0082,Student Loan,208,15000,22335,Fair,2,0,2
CH000375,B0082,Personal Loan,35,15000,27685,Fair,2,2,3
CH000376,B0082,Personal Loan,117,25000,7188,Excellent,0,0,4
CH000377,B0082,Student Loan,171,10000,7370,Excellent,0,0,1
CH000378,B0082,Mortgage,196,15000,18454,Good,0,0,5
CH000379,B0083,Mortgage,67,50000,19674,Good,0,0,5
CH000380,B0083,Auto Loan,38,10000,25822,Poor,0,2,1
CH000381,B0083,Personal Loan,46,1000,25587,Fair,0,2,7
CH000382,B0083,Auto Loan,223,25000,19706,Excellent,0,2,5
CH000383,B0084,Student Loan,51,10000,29743,Excellent,0,0,7
CH000384,B0084,Credit Card,135,1000,19507,Good,0,0,5
CH000385,B0084,Mortgage,129,50000,1766,Good,1,0,1
CH000386,B0085,Credit Card,139,15000,2490,Excellent,0,0,1
CH000387,B0086,Personal Loan,239,2500,3976,Good,3,0,1
CH000388,B0086,Mortgage,130,50000,7501,Excellent,0,0,6
CH000389,B0086,Mortgage,96,1000,1636,Good,2,0,3
CH000390,B0086,Student Loan,121,2500,29016,Good,0,0,7
CH000391,B0087,Auto Loan,22,25000,9941,Excellent,0,0,6
CH000392,B0087,Personal Loan,21,15000,23809,Good,5,0,2
CH000393,B0087,Credit Card,169,50000,13354,Good,3,0,7
CH000394,B0087,Auto Loan,33,25000,5969,Good,0,0,2
CH000395,B0088,Mortgage,167,50000,28282,Excellent,3,0,6
CH000396,B0088,Student Loan,193,10000,13006,Good,0,0,1
CH000397,B0088,Auto Loan,15,1000,26868,Good,1,0,6
CH000398,B0088,Auto Loan,123,1000,25173,Excellent,3,0,4
CH000399,B0088,Credit Card,89,50000,20010,Fair,0,1,3
CH000400,B0089,Credit Card,238,5000,11148,Excellent,1,0,5
CH000401,B0089,Auto Loan,67,1000,17836,Fair,0,1,1
CH000402,B0089,Auto Loan,199,5000,28173,Fair,3,0,7
CH000403,B0089,Student Loan,60,10000,23405,Good,0,0,0
CH000404,B0089,Credit Card,204,25000,7215,Good,2,0,2
CH000405,B0089,Credit Card,213,2500,12718,Excellent,1,0,0
CH000406,B0089,Auto Loan,61,25000,15629,Excellent,0,0,7
CH000407,B0090,Auto Loan,198,2500,3260,Poor,0,1,4
CH000408,B0090,Student Loan,160,1000,5758,Poor,1,0,1
CH000409,B0091,Mortgage,119,1000,3512,Excellent,2,0,2
CH000410,B0091,Credit Card,170,15000,14013,Good,0,1,7
CH000411,B0091,Personal Loan,109,5000,7365,Fair,2,0,0
CH000412,B0091,Auto Loan,207,2500,20943,Excellent,1,0,5
CH000413,B0092,Personal Loan,90,1000,28077,Excellent,0,1,4
CH000414,B0092,Credit Card,152,10000,18374,Good,0,2,1
CH000415,B0092,Mortgage,229,1000,26863,Good,0,0,5
