application_id,borrower_id,application_date,loan_purpose,requested_amount,application_status,loan_term_months,interest_rate_offered
LA00094,B0077,2023-11-04,Business,6216,Approved,48,5.86
LA00095,B0298,2023-02-27,Auto,49973,Approved,24,14.55
LA00096,B0137,2023-08-29,Vacation,22052,Rejected,24,11.37
LA00097,B0106,2022-06-23,Business,10208,Approved,60,9.67
LA00098,B0095,2023-11-08,Medical,3854,Pending,48,13.39
LA00099,B0135,2022-04-25,Medical,9512,Approved,36,12.78
LA00100,B0068,2022-08-08,Home Improvement,11199,Pending,36,8.84
LA00101,B0147,2022-01-31,Education,17947,Approved,12,8.64
LA00102,B0159,2023-06-07,Medical,21716,Pending,36,5.42
LA00103,B0384,2022-12-09,Medical,25470,Approved,36,13.88
LA00104,B0163,2023-01-12,Business,3680,Approved,36,6.86
LA00105,B0341,2022-05-10,Other,15784,Approved,36,12.52
LA00106,B0189,2023-09-09,Auto,11758,Approved,12,15.17
LA00107,B0339,2023-06-23,Auto,100000,Manual Review,24,13.44
LA00108,B0095,2024-01-09,Auto,14069,Approved,60,9.25
LA00109,B0181,2022-01-02,Debt Consolidation,8118,Approved,36,16.59
LA00110,B0288,2024-05-20,Debt Consolidation,14592,Rejected,36,10.66
LA00111,B0322,2022-04-11,Auto,13268,Approved,12,6.5
LA00112,B0187,2023-06-17,Auto,2721,Approved,12,11.22
LA00113,B0372,2022-02-27,Debt Consolidation,18520,Rejected,48,15.14
LA00114,B0138,2023-01-24,Business,10420,Approved,36,9.47
LA00115,B0130,2023-11-23,Debt Consolidation,13077,Manual Review,36,16.45
LA00116,B0194,2022-12-07,Debt Consolidation,6641,Approved,24,9.03
LA00117,B0316,2024-05-10,Auto,5568,Approved,48,9.65
LA00118,B0273,2022-01-20,Debt Consolidation,26986,Rejected,24,7.79
LA00119,B0352,2022-09-12,Debt Consolidation,32427,Rejected,24,15.58
LA00120,B0144,2022-11-13,Home Improvement,18666,Approved,36,12.26
LA00121,B0016,2022-02-07,Auto,3138,Rejected,24,8.09
LA00122,B0302,2023-10-22,Home Improvement,19662,Approved,24,10.72
LA00123,B0245,2023-06-21,Education,3175,Approved,36,5.0
LA00124,B0107,2023-01-21,Education,7871,Pending,48,16.0
LA00125,B0088,2023-09-25,Debt Consolidation,26700,Approved,48,11.73
LA00126,B0129,2022-01-26,Other,22608,Approved,36,5.0
LA00127,B0395,2023-03-30,Debt Consolidation,19255,Pending,12,5.94
LA00128,B0375,2023-11-12,Other,38189,Manual Review,24,10.6
LA00129,B0341,2022-11-19,Medical,20910,Approved,60,6.59
LA00130,B0004,2024-01-07,Other,2656,Approved,36,16.07
LA00131,B0327,2023-05-28,Debt Consolidation,9940,Rejected,48,14.38
LA00132,B0367,2024-03-29,Medical,12922,Manual Review,12,14.12
LA00133,B0306,2024-02-12,Debt Consolidation,11766,Pending,36,5.0
LA00134,B0396,2022-01-13,Debt Consolidation,8154,Approved,12,10.14
LA00135,B0095,2023-07-14,Education,5859,Approved,36,9.36
LA00136,B0209,2024-04-04,Debt Consolidation,91180,Approved,60,8.21
LA00137,B0225,2023-01-06,Education,9788,Rejected,60,10.63
LA00138,B0348,2022-10-18,Debt Consolidation,87665,Rejected,36,7.43
LA00139,B0321,2022-11-28,Home Improvement,5361,Rejected,36,13.47
LA00140,B0047,2023-08-29,Auto,22598,Manual Review,60,15.95
LA00141,B0181,2022-09-18,Home Improvement,16053,Approved,48,15.56
LA00142,B0106,2024-02-29,Education,6389,Approved,12,11.88
LA00143,B0199,2024-05-20,Education,9190,Approved,36,21.5
LA00144,B0386,2022-07-24,Vacation,13198,Approved,24,17.63
LA00145,B0106,2023-11-28,Home Improvement,6800,Approved,36,12.04
LA00146,B0280,2023-11-18,Auto,10884,Approved,36,10.33
LA00147,B0260,2023-01-22,Other,2014,Rejected,36,18.52
LA00148,B0108,2024-06-10,Auto,23604,Pending,36,17.03
LA00149,B0019,2024-03-31,Medical,35657,Approved,24,6.15
LA00150,B0296,2023-04-13,Education,19215,Approved,36,17.39
LA00151,B0306,2023-02-19,Auto,81748,Approved,48,11.81
LA00152,B0171,2022-03-10,Education,23055,Rejected,48,8.63
LA00153,B0331,2023-04-17,Debt Consolidation,33331,Rejected,36,5.0
LA00154,B0195,2022-04-14,Debt Consolidation,35978,Rejected,60,11.29
LA00155,B0012,2024-01-28,Vacation,1479,Approved,60,12.44
LA00156,B0195,2022-06-10,Debt Consolidation,18749,Approved,24,19.64
LA00157,B0283,2022-07-19,Auto,4418,Approved,12,16.81
LA00158,B0369,2022-08-04,Home Improvement,5194,Rejected,48,9.88
LA00159,B0182,2022-07-31,Medical,5969,Pending,48,14.25
LA00160,B0305,2023-05-23,Debt Consolidation,10402,Pending,60,16.22
LA00161,B0144,2022-01-16,Debt Consolidation,22479,Approved,60,12.89
LA00162,B0386,2023-05-13,Other,18905,Rejected,36,9.86
LA00163,B0316,2024-06-02,Business,13225,Manual Review,36,10.11
LA00164,B0182,2022-11-28,Education,23816,Approved,12,14.23
LA00165,B0030,2023-12-18,Medical,25003,Approved,24,14.36
LA00166,B0084,2024-05-26,Auto,19036,Manual Review,36,11.18
LA00167,B0166,2023-07-05,Education,3362,Approved,36,5.0
LA00168,B0284,2023-08-24,Medical,7394,Manual Review,36,6.69
LA00169,B0281,2022-09-13,Debt Consolidation,13644,Manual Review,48,15.29
LA00170,B0096,2024-02-05,Education,24022,Rejected,24,5.0
LA00171,B0381,2023-12-29,Auto,4615,Pending,36,17.83
LA00172,B0266,2024-05-29,Other,13239,Rejected,12,17.16
LA00173,B0298,2024-03-25,Debt Consolidation,3818,Rejected,36,12.68
LA00174,B0296,2022-06-21,Auto,30355,Approved,48,15.19
LA00175,B0225,2023-10-11,Education,16218,Approved,48,14.88
LA00176,B0333,2023-05-13,Home Improvement,4550,Approved,60,11.97
LA00177,B0361,2023-04-16,Debt Consolidation,4527,Rejected,24,6.32
LA00178,B0374,2023-01-19,Home Improvement,18213,Approved,36,16.85
LA00179,B0042,2023-11-21,Home Improvement,40128,Approved,36,18.83
LA00180,B0303,2023-08-12,Home Improvement,5555,Approved,36,7.06
LA00181,B0246,2023-12-01,Auto,25066,Rejected,60,6.15
LA00182,B0208,2023-05-22,Auto,8657,Manual Review,48,11.88
LA00183,B0237,2023-06-11,Education,25810,Manual Review,60,9.68
LA00184,B0022,2024-03-14,Business,23076,Approved,24,13.15
LA00185,B0185,2024-04-10,Home Improvement,15127,Pending,60,17.94
LA00186,B0242,2022-11-21,Debt Consolidation,3079,Rejected,12,5.0
LA00187,B0363,2022-08-02,Education,23039,Approved,60,19.62
LA00188,B0283,2022-07-27,Debt Consolidation,19962,Rejected,36,10.67
LA00189,B0041,2022-06-18,Home Improvement,18552,Approved,36,14.8
LA00190,B0336,2022-11-26,Debt Consolidation,15623,Manual Review,36,15.28
LA00191,B0162,2022-10-07,Debt Consolidation,6614,Approved,60,15.81
LA00192,B0160,2022-11-01,Vacation,31772,Approved,12,12.78
LA00193,B0089,2022-05-26,Debt Consolidation,27405,Rejected,36,13.83
LA00194,B0322,2024-02-14,Medical,5651,Approved,60,13.8
LA00195,B0012,2023-05-31,Debt Consolidation,38232,Approved,36,9.66
LA00196,B0073,2022-03-31,Auto,14843,Rejected,24,5.0
LA00197,B0076,2023-03-29,Home Improvement,14813,Approved,36,7.01
LA00198,B0346,2022-03-01,Auto,11601,Rejected,36,12.03
LA00199,B0201,2022-11-07,Home Improvement,12551,Approved,60,8.96
LA00200,B0010,2023-06-12,Debt Consolidation,40003,Rejected,48,8.97
LA00201,B0352,2022-08-15,Medical,30529,Rejected,36,20.6
LA00202,B0226,2023-04-19,Debt Consolidation,30015,Approved,60,16.37
LA00203,B0176,2023-06-25,Home Improvement,15485,Rejected,36,11.37
LA00204,B0276,2023-10-25,Home Improvement,27209,Rejected,12,15.52
LA00205,B0039,2024-01-27,Business,6853,Rejected,24,10.61
LA00206,B0060,2024-02-21,Debt Consolidation,21306,Rejected,36,13.0
LA00207,B0066,2022-03-20,Auto,11815,Pending,24,14.49
LA00208,B0321,2023-03-09,Debt Consolidation,2571,Approved,60,10.62
LA00209,B0124,2024-03-11,Home Improvement,3756,Approved,48,9.42
LA00210,B0164,2022-06-02,Home Improvement,7860,Manual Review,24,18.01
LA00211,B0386,2024-02-28,Business,18622,Approved,36,15.26
LA00212,B0159,2023-02-05,Debt Consolidation,7866,Approved,48,5.0
LA00213,B0057,2022-10-06,Debt Consolidation,8325,Approved,60,9.49
LA00214,B0078,2022-02-26,Home Improvement,24602,Approved,60,8.98
LA00215,B0194,2022-07-05,Debt Consolidation,8569,Approved,36,9.7
LA00216,B0285,2023-02-02,Debt Consolidation,38740,Manual Review,48,16.38
LA00217,B0015,2023-08-28,Education,33931,Approved,36,12.59
LA00218,B0012,2024-02-27,Debt Consolidation,13595,Approved,36,6.25
LA00219,B0101,2022-06-07,Debt Consolidation,24410,Manual Review,24,10.78
LA00220,B0156,2024-02-26,Auto,21890,Manual Review,24,14.94
LA00221,B0340,2023-11-24,Home Improvement,10976,Approved,36,11.51
LA00222,B0125,2022-12-25,Debt Consolidation,26617,Approved,24,9.6
LA00223,B0359,2023-03-16,Debt Consolidation,29945,Pending,12,13.99
LA00224,B0280,2023-08-12,Education,6235,Rejected,48,19.78
LA00225,B0394,2023-04-11,Debt Consolidation,15105,Rejected,12,14.58
LA00226,B0110,2023-10-25,Medical,14972,Pending,36,18.35
LA00227,B0334,2023-03-22,Debt Consolidation,26362,Rejected,36,9.9
LA00228,B0357,2024-01-20,Education,9366,Approved,60,12.46
LA00229,B0146,2024-03-11,Home Improvement,8281,Rejected,36,12.37
LA00230,B0216,2024-01-13,Education,15293,Approved,12,13.03
LA00231,B0398,2023-05-03,Vacation,34375,Rejected,36,14.48
LA00232,B0162,2023-06-14,Education,5117,Rejected,48,8.36
LA00233,B0128,2022-03-14,Debt Consolidation,5884,Approved,60,15.41
LA00234,B0314,2023-12-02,Debt Consolidation,8809,Approved,36,5.17
LA00235,B0332,2022-01-17,Home Improvement,10157,Approved,36,6.49
LA00236,B0150,2023-06-15,Debt Consolidation,3253,Approved,60,22.11
LA00237,B0036,2024-01-01,Debt Consolidation,44291,Rejected,24,10.2
LA00238,B0173,2022-11-22,Auto,12037,Approved,36,15.78
LA00239,B0022,2023-09-24,Home Improvement,10677,Rejected,36,20.14
LA00240,B0206,2023-09-05,Home Improvement,48928,Approved,12,5.0
LA00241,B0127,2023-06-30,Education,23723,Rejected,36,17.57
LA00242,B0336,2023-08-19,Education,8705,Pending,24,15.42
LA00243,B0356,2023-12-09,Debt Consolidation,15240,Rejected,48,19.88
LA00244,B0217,2024-04-21,Vacation,12921,Approved,60,7.18
LA00245,B0096,2022-07-21,Debt Consolidation,42560,Manual Review,24,19.03
LA00246,B0164,2022-12-10,Auto,11684,Approved,48,9.17
LA00247,B0148,2024-05-02,Auto,4214,Approved,12,17.25
LA00248,B0018,2023-06-07,Auto,2975,Approved,36,12.34
LA00249,B0294,2024-05-08,Education,43483,Approved,12,15.97
LA00250,B0195,2023-02-04,Debt Consolidation,7108,Manual Review,60,12.72
LA00251,B0151,2022-08-06,Home Improvement,22837,Approved,48,5.0
LA00252,B0365,2023-03-21,Education,14149,Rejected,48,5.0
LA00253,B0123,2024-02-04,Home Improvement,9572,Rejected,48,13.44
LA00254,B0400,2022-08-10,Business,10852,Approved,36,11.31
LA00255,B0187,2023-01-18,Home Improvement,47415,Rejected,60,14.29
LA00256,B0149,2024-05-30,Debt Consolidation,4194,Approved,48,11.37
LA00257,B0104,2023-08-15,Debt Consolidation,9806,Approved,60,21.58
LA00258,B0243,2022-01-07,Home Improvement,27591,Approved,36,13.54
LA00259,B0231,2022-09-29,Medical,4786,Manual Review,24,10.49
LA00260,B0206,2024-01-09,Auto,38323,Manual Review,36,14.02
LA00261,B0198,2022-01-16,Education,27277,Approved,24,10.57
LA00262,B0396,2023-02-28,Vacation,16604,Approved,36,12.92
LA00263,B0400,2023-06-08,Business,8932,Rejected,36,7.02
LA00264,B0337,2024-03-13,Vacation,4318,Approved,36,12.46
LA00265,B0087,2024-01-23,Debt Consolidation,23520,Pending,12,10.35
LA00266,B0142,2022-01-21,Auto,100000,Rejected,24,7.45
LA00267,B0317,2023-11-21,Debt Consolidation,15013,Approved,36,21.39
LA00268,B0199,2022-08-16,Debt Consolidation,3100,Pending,60,7.62
LA00269,B0046,2024-02-24,Education,19264,Approved,36,12.53
LA00270,B0288,2022-10-15,Home Improvement,26587,Manual Review,36,8.89
LA00271,B0015,2024-03-19,Debt Consolidation,6410,Manual Review,48,13.84
LA00272,B0044,2022-05-14,Debt Consolidation,7971,Approved,36,6.77
LA00273,B0169,2022-10-10,Debt Consolidation,7347,Approved,24,16.28
LA00274,B0310,2023-02-08,Business,8733,Manual Review,36,21.66
LA00275,B0044,2023-10-27,Debt Consolidation,11640,Manual Review,24,8.72
LA00276,B0098,2022-03-07,Debt Consolidation,6709,Approved,60,17.98
LA00277,B0261,2023-10-11,Home Improvement,4970,Pending,24,10.78
LA00278,B0109,2023-08-27,Home Improvement,15359,Approved,36,19.28
LA00279,B0283,2023-03-13,Business,11543,Approved,12,22.35
LA00280,B0372,2024-04-08,Debt Consolidation,9423,Pending,24,11.45
LA00281,B0343,2022-09-16,Medical,14279,Approved,48,5.66
LA00282,B0104,2022-04-13,Auto,3959,Manual Review,24,16.77
LA00283,B0256,2023-07-21,Business,16490,Approved,12,13.51
LA00284,B0379,2024-02-08,Education,9580,Rejected,36,14.76
LA00285,B0206,2022-04-11,Vacation,16180,Approved,12,10.97
LA00286,B0335,2022-07-17,Debt Consolidation,18392,Approved,12,8.52
LA00287,B0043,2024-03-23,Home Improvement,33021,Rejected,48,17.72
LA00288,B0353,2022-08-14,Home Improvement,14506,Approved,48,13.94
LA00289,B0245,2023-04-08,Business,31362,Approved,60,6.0
LA00290,B0287,2022-08-25,Debt Consolidation,10326,Approved,60,15.59
LA00291,B0355,2022-01-26,Debt Consolidation,10728,Approved,48,14.69
LA00292,B0273,2022-05-01,Home Improvement,12422,Pending,12,11.04
LA00293,B0083,2023-05-21,Debt Consolidation,24817,Approved,48,19.79
LA00294,B0110,2022-07-01,Debt Consolidation,22131,Rejected,48,9.72
LA00295,B0190,2023-12-12,Other,14884,Approved,48,11.74
LA00296,B0288,2024-03-24,Home Improvement,5003,Approved,36,15.96
LA00297,B0397,2024-02-06,Education,21817,Approved,24,12.85
LA00298,B0251,2023-09-26,Auto,6706,Approved,48,6.27
LA00299,B0212,2023-06-27,Home Improvement,6420,Approved,48,13.33
LA00300,B0291,2022-11-11,Debt Consolidation,5373,Rejected,60,10.64
LA00301,B0133,2024-03-07,Debt Consolidation,12499,Pending,24,16.36
LA00302,B0201,2023-09-10,Home Improvement,35220,Approved,24,13.18
LA00303,B0285,2024-01-06,Education,6171,Approved,24,12.93
LA00304,B0326,2022-09-30,Home Improvement,51167,Approved,48,7.78
LA00305,B0095,2022-08-20,Debt Consolidation,27662,Approved,24,11.46
LA00306,B0278,2023-02-24,Medical,4139,Approved,12,16.87
LA00307,B0325,2024-02-07,Business,9835,Approved,60,9.01
LA00308,B0219,2023-03-18,Vacation,5812,Approved,12,12.35
LA00309,B0089,2023-05-11,Vacation,22741,Approved,48,8.29
LA00310,B0072,2022-01-24,Auto,6060,Approved,36,7.17
LA00311,B0247,2022-04-19,Home Improvement,3652,Approved,48,12.12
LA00312,B0129,2023-12-04,Auto,10295,Approved,36,13.28
LA00313,B0212,2023-05-17,Debt Consolidation,34047,Approved,60,21.47
LA00314,B0343,2024-05-08,Education,11452,Approved,60,10.45
LA00315,B0096,2022-01-25,Education,18375,Approved,12,12.27
LA00316,B0075,2022-07-06,Debt Consolidation,18954,Approved,12,6.87
LA00317,B0054,2022-10-15,Auto,3984,Approved,24,15.26
LA00318,B0344,2023-09-20,Business,6506,Approved,48,14.29
LA00319,B0054,2022-12-04,Debt Consolidation,13428,Approved,60,19.2
LA00320,B0218,2024-05-27,Vacation,8553,Approved,36,17.5
LA00321,B0016,2022-02-06,Debt Consolidation,52237,Approved,36,14.08
LA00322,B0099,2024-03-04,Education,5000,Rejected,24,10.38
LA00323,B0020,2022-05-17,Medical,6454,Approved,48,13.42
LA00324,B0046,2023-05-23,Medical,16855,Approved,60,12.0
LA00325,B0193,2022-08-15,Business,8084,Pending,24,16.79
LA00326,B0383,2022-11-16,Business,1321,Approved,36,16.22
LA00327,B0058,2024-04-19,Auto,62802,Approved,12,11.17
LA00328,B0111,2022-07-01,Debt Consolidation,5656,Pending,36,5.92
LA00329,B0129,2024-05-23,Business,20925,Pending,36,18.5
LA00330,B0337,2022-03-27,Debt Consolidation,4901,Approved,24,15.12
LA00331,B0194,2023-04-12,Business,6698,Approved,36,11.06
LA00332,B0340,2022-02-22,Home Improvement,3646,Approved,36,14.94
LA00333,B0326,2024-05-09,Debt Consolidation,7383,Approved,36,12.84
LA00334,B0008,2024-05-16,Education,7979,Rejected,36,18.43
LA00335,B0029,2022-08-23,Debt Consolidation,12015,Approved,12,5.0
LA00336,B0112,2024-02-18,Debt Consolidation,9916,Approved,48,10.71
LA00337,B0161,2024-03-09,Home Improvement,4216,Manual Review,48,19.7
LA00338,B0131,2023-03-09,Debt Consolidation,8785,Manual Review,36,15.03
LA00339,B0188,2023-05-11,Debt Consolidation,42514,Approved,12,20.48
LA00340,B0163,2022-04-10,Debt Consolidation,38665,Rejected,48,7.0
LA00341,B0197,2023-08-22,Home Improvement,19236,Approved,60,17.32
LA00342,B0364,2023-02-07,Debt Consolidation,22708,Pending,24,17.06
LA00343,B0204,2023-01-31,Auto,69470,Approved,36,5.0
LA00344,B0212,2023-06-11,Debt Consolidation,21099,Approved,24,11.17
LA00345,B0109,2023-02-19,Business,22367,Approved,36,12.02
LA00346,B0276,2023-09-05,Business,3821,Approved,24,5.21
LA00347,B0073,2023-11-08,Debt Consolidation,5485,Approved,36,11.26
LA00348,B0167,2023-04-08,Auto,13014,Rejected,48,16.43
LA00349,B0260,2023-06-25,Vacation,7002,Rejected,36,10.74
LA00350,B0243,2023-09-18,Other,6012,Approved,36,13.59
LA00351,B0275,2023-09-11,Education,6594,Approved,36,13.62
LA00352,B0102,2022-12-30,Debt Consolidation,4277,Approved,36,12.45
LA00353,B0173,2022-05-10,Education,7093,Pending,12,9.33
LA00354,B0171,2022-03-25,Education,17527,Manual Review,12,15.46
LA00355,B0141,2022-09-28,Education,56221,Manual Review,60,5.36
LA00356,B0397,2022-09-01,Home Improvement,25275,Pending,12,12.54
LA00357,B0188,2023-01-23,Business,22223,Approved,48,18.73
LA00358,B0086,2022-08-02,Other,3645,Approved,60,10.49
LA00359,B0052,2024-03-28,Debt Consolidation,14697,Rejected,24,9.23
LA00360,B0111,2022-06-15,Debt Consolidation,12662,Manual Review,36,15.76
LA00361,B0365,2024-03-01,Debt Consolidation,16858,Approved,36,13.24
LA00362,B0342,2022-02-28,Vacation,10011,Approved,60,15.85
LA00363,B0043,2023-08-25,Auto,50496,Pending,60,12.67
LA00364,B0211,2024-06-01,Education,13935,Approved,48,5.0
LA00365,B0200,2024-04-22,Home Improvement,15065,Approved,12,17.81
LA00366,B0298,2023-05-19,Education,2779,Rejected,48,21.82
LA00367,B0346,2023-12-07,Home Improvement,12266,Approved,36,18.28
LA00368,B0240,2022-05-03,Medical,33503,Approved,36,5.0
LA00369,B0115,2023-10-10,Auto,20836,Rejected,12,14.53
LA00370,B0026,2023-02-17,Other,2381,Rejected,24,10.4
LA00371,B0299,2022-05-19,Business,9323,Manual Review,48,7.62
LA00372,B0077,2022-08-17,Business,53397,Approved,36,13.05
LA00373,B0137,2022-10-01,Home Improvement,11842,Approved,36,11.83
LA00374,B0020,2023-03-15,Medical,17290,Rejected,36,14.79
LA00375,B0211,2023-07-16,Auto,48786,Approved,60,12.75
LA00376,B0240,2022-04-28,Business,11805,Approved,48,7.46
LA00377,B0039,2023-12-15,Debt Consolidation,25155,Rejected,24,9.91
LA00378,B0268,2023-04-28,Home Improvement,18566,Approved,24,9.18
LA00379,B0207,2023-01-30,Debt Consolidation,22029,Approved,24,5.0
LA00380,B0267,2023-12-04,Education,18094,Approved,60,6.33
LA00381,B0154,2024-05-25,Home Improvement,8620,Approved,36,11.55
LA00382,B0042,2023-04-05,Home Improvement,9337,Approved,36,18.91
LA00383,B0011,2024-04-14,Debt Consolidation,6743,Approved,36,10.09
LA00384,B0294,2023-11-24,Home Improvement,3598,Rejected,36,9.09
LA00385,B0098,2022-03-19,Business,36156,Manual Review,48,7.18
LA00386,B0275,2023-02-16,Debt Consolidation,13467,Approved,36,12.64
LA00387,B0390,2022-03-16,Auto,34728,Approved,24,17.81
LA00388,B0372,2022-10-22,Education,46737,Approved,24,21.51
LA00389,B0230,2024-03-03,Business,13943,Approved,36,13.78
LA00390,B0369,2022-01-21,Debt Consolidation,4671,Rejected,60,13.13
LA00391,B0220,2022-06-20,Other,11419,Rejected,36,10.05
LA00392,B0065,2022-01-15,Education,7809,Rejected,60,10.81
LA00393,B0355,2022-07-30,Other,2740,Approved,48,15.33
LA00394,B0232,2023-07-14,Business,8942,Approved,24,11.08
