employment_id,borrower_id,employment_type,employer_name,employment_length_years,annual_income,monthly_income
E0046,B0046,Full-time,FreelanceInd,22,30333,2527
E0047,B0047,Part-time,HealthSys,6,75118,6259
E0048,B0048,Full-time,EduGroup,19,54628,4552
E0049,B0049,Full-time,EduGroup,24,115063,9588
E0050,B0050,Full-time,EduGroup,11,18000,1500
E0051,B0051,Part-time,GovernmentOrg,15,18000,1500
E0052,B0052,Part-time,RetailCo,15,81139,6761
E0053,B0053,Full-time,ManufactureLtd,10,105788,8815
E0054,B0054,Full-time,HealthSys,20,95197,7933
E0055,B0055,Full-time,StartupXYZ,3,47970,3997
E0056,B0056,Full-time,GovernmentOrg,12,117192,9766
E0057,B0057,Full-time,StartupXYZ,6,35055,2921
E0058,B0058,Full-time,ManufactureLtd,3,111224,9268
E0059,B0059,Self-employed,ManufactureLtd,14,39023,3251
E0060,B0060,Full-time,FreelanceInd,18,61445,5120
E0061,B0061,Full-time,EduGroup,8,91178,7598
E0062,B0062,Full-time,RetailCo,10,28013,2334
E0063,B0063,Contract,FreelanceInd,7,116070,9672
E0064,B0064,Part-time,TechCorp,0,61261,5105
E0065,B0065,Part-time,GovernmentOrg,22,76118,6343
E0066,B0066,Full-time,GovernmentOrg,24,106866,8905
E0067,B0067,Part-time,RetailCo,23,48206,4017
E0068,B0068,Full-time,ManufactureLtd,7,103824,8652
E0069,B0069,Part-time,StartupXYZ,12,121216,10101
E0070,B0070,Contract,GovernmentOrg,21,52332,4361
E0071,B0071,Part-time,RetailCo,3,113081,9423
E0072,B0072,Unemployed,GovernmentOrg,0,5999,499
E0073,B0073,Self-employed,GovernmentOrg,2,83688,6974
E0074,B0074,Full-time,EduGroup,8,35142,2928
E0075,B0075,Contract,TechCorp,1,100277,8356
E0076,B0076,Full-time,EduGroup,1,97813,8151
E0077,B0077,Full-time,TechCorp,12,134321,11193
E0078,B0078,Full-time,GovernmentOrg,14,114638,9553
E0079,B0079,Full-time,FreelanceInd,22,67026,5585
E0080,B0080,Full-time,StartupXYZ,11,39547,3295
E0081,B0081,Full-time,ManufactureLtd,3,88970,7414
E0082,B0082,Full-time,GovernmentOrg,7,70178,5848
E0083,B0083,Part-time,TechCorp,8,118534,9877
E0084,B0084,Full-time,TechCorp,22,18000,1500
E0085,B0085,Full-time,TechCorp,4,137641,11470
E0086,B0086,Part-time,GovernmentOrg,23,87959,7329
E0087,B0087,Full-time,RetailCo,19,47609,3967
E0088,B0088,Self-employed,FreelanceInd,17,94019,7834
E0089,B0089,Part-time,RetailCo,10,110922,9243
E0090,B0090,Self-employed,ManufactureLtd,14,75430,6285
E0091,B0091,Part-time,GovernmentOrg,21,19052,1587
E0092,B0092,Full-time,TechCorp,8,63184,5265
E0093,B0093,Part-time,FreelanceInd,16,103181,8598
E0094,B0094,Full-time,FreelanceInd,11,86899,7241
E0095,B0095,Full-time,HealthSys,6,67304,5608
E0096,B0096,Self-employed,ManufactureLtd,9,111249,9270
E0097,B0097,Full-time,StartupXYZ,24,94179,7848
E0098,B0098,Self-employed,StartupXYZ,24,96490,8040
E0099,B0099,Self-employed,FreelanceInd,9,59680,4973
E0100,B0100,Unemployed,GovernmentOrg,0,5139,428
E0101,B0101,Contract,TechCorp,18,21001,1750
E0102,B0102,Full-time,TechCorp,10,64218,5351
E0103,B0103,Full-time,FreelanceInd,12,100061,8338
E0104,B0104,Part-time,RetailCo,20,65877,5489
E0105,B0105,Full-time,ManufactureLtd,7,85366,7113
E0106,B0106,Part-time,TechCorp,7,105335,8777
E0107,B0107,Self-employed,FreelanceInd,3,83184,6932
E0108,B0108,Part-time,TechCorp,14,86115,7176
E0109,B0109,Full-time,StartupXYZ,10,31265,2605
E0110,B0110,Full-time,FreelanceInd,10,62323,5193
E0111,B0111,Full-time,ManufactureLtd,0,123798,10316
E0112,B0112,Full-time,FreelanceInd,16,75113,6259
E0113,B0113,Unemployed,HealthSys,0,8560,713
E0114,B0114,Full-time,FreelanceInd,19,50306,4192
E0115,B0115,Full-time,FreelanceInd,5,79018,6584
E0116,B0116,Full-time,GovernmentOrg,23,60519,5043
E0117,B0117,Part-time,StartupXYZ,21,89759,7479
E0118,B0118,Part-time,ManufactureLtd,24,98850,8237
E0119,B0119,Full-time,GovernmentOrg,14,90073,7506
E0120,B0120,Full-time,FreelanceInd,8,103255,8604
E0121,B0121,Full-time,ManufactureLtd,13,71604,5967
E0122,B0122,Full-time,HealthSys,17,66284,5523
E0123,B0123,Part-time,ManufactureLtd,16,19254,1604
E0124,B0124,Part-time,TechCorp,17,91153,7596
E0125,B0125,Full-time,GovernmentOrg,4,77165,6430
E0126,B0126,Full-time,ManufactureLtd,19,69962,5830
E0127,B0127,Contract,StartupXYZ,19,66275,5522
E0128,B0128,Full-time,HealthSys,8,70893,5907
E0129,B0129,Part-time,EduGroup,10,64912,5409
E0130,B0130,Full-time,FreelanceInd,23,56158,4679
E0131,B0131,Full-time,ManufactureLtd,21,79187,6598
E0132,B0132,Full-time,FreelanceInd,0,86524,7210
E0133,B0133,Full-time,RetailCo,17,48882,4073
E0134,B0134,Contract,TechCorp,5,59977,4998
E0135,B0135,Full-time,GovernmentOrg,1,65861,5488
E0136,B0136,Full-time,TechCorp,14,72144,6012
E0137,B0137,Full-time,RetailCo,20,68154,5679
E0138,B0138,Full-time,RetailCo,13,91791,7649
E0139,B0139,Full-time,GovernmentOrg,4,22428,1869
E0140,B0140,Full-time,ManufactureLtd,5,27748,2312
E0141,B0141,Self-employed,RetailCo,5,77807,6483
E0142,B0142,Full-time,EduGroup,21,53919,4493
E0143,B0143,Full-time,FreelanceInd,17,98527,8210
E0144,B0144,Contract,FreelanceInd,13,107094,8924
E0145,B0145,Full-time,HealthSys,9,79012,6584
E0146,B0146,Contract,StartupXYZ,13,39840,3320
E0147,B0147,Full-time,RetailCo,12,103637,8636
E0148,B0148,Unemployed,RetailCo,0,10808,900
E0149,B0149,Part-time,EduGroup,5,27391,2282
E0150,B0150,Self-employed,TechCorp,7,30044,2503
E0151,B0151,Contract,TechCorp,11,117508,9792
E0152,B0152,Full-time,FreelanceInd,12,112534,9377
E0153,B0153,Contract,FreelanceInd,10,18000,1500
E0154,B0154,Full-time,ManufactureLtd,11,31266,2605
E0155,B0155,Full-time,GovernmentOrg,0,106225,8852
E0156,B0156,Full-time,StartupXYZ,16,71445,5953
E0157,B0157,Full-time,EduGroup,15,93055,7754
E0158,B0158,Full-time,GovernmentOrg,10,70141,5845
E0159,B0159,Part-time,GovernmentOrg,12,91634,7636
E0160,B0160,Full-time,HealthSys,17,72175,6014
E0161,B0161,Self-employed,GovernmentOrg,10,58871,4905
E0162,B0162,Self-employed,HealthSys,11,103762,8646
E0163,B0163,Full-time,GovernmentOrg,5,78061,6505
E0164,B0164,Full-time,EduGroup,8,91571,7630
E0165,B0165,Full-time,HealthSys,15,76723,6393
E0166,B0166,Full-time,TechCorp,3,57409,4784
E0167,B0167,Full-time,HealthSys,2,120251,10020
E0168,B0168,Full-time,HealthSys,15,82649,6887
E0169,B0169,Full-time,EduGroup,23,61348,5112
E0170,B0170,Contract,EduGroup,24,110349,9195
E0171,B0171,Part-time,HealthSys,11,32375,2697
E0172,B0172,Full-time,StartupXYZ,10,139088,11590
E0173,B0173,Part-time,RetailCo,4,66625,5552
E0174,B0174,Full-time,StartupXYZ,24,33959,2829
E0175,B0175,Full-time,EduGroup,17,129178,10764
E0176,B0176,Part-time,StartupXYZ,18,58104,4842
E0177,B0177,Full-time,StartupXYZ,22,79297,6608
E0178,B0178,Full-time,ManufactureLtd,22,93530,7794
E0179,B0179,Contract,ManufactureLtd,5,107525,8960
E0180,B0180,Unemployed,TechCorp,0,6813,567
E0181,B0181,Part-time,GovernmentOrg,17,52580,4381
E0182,B0182,Part-time,HealthSys,5,78569,6547
E0183,B0183,Part-time,RetailCo,3,59420,4951
E0184,B0184,Full-time,TechCorp,11,79470,6622
E0185,B0185,Full-time,HealthSys,18,120844,10070
E0186,B0186,Full-time,StartupXYZ,1,94677,7889
E0187,B0187,Full-time,EduGroup,16,78199,6516
E0188,B0188,Full-time,ManufactureLtd,10,94154,7846
E0189,B0189,Full-time,FreelanceInd,10,96302,8025
E0190,B0190,Contract,RetailCo,20,39663,3305
E0191,B0191,Contract,StartupXYZ,15,73251,6104
E0192,B0192,Self-employed,FreelanceInd,1,148875,12406
E0193,B0193,Full-time,ManufactureLtd,1,108384,9032
E0194,B0194,Unemployed,StartupXYZ,0,7093,591
E0195,B0195,Full-time,GovernmentOrg,7,53903,4491
E0196,B0196,Self-employed,GovernmentOrg,12,52904,4408
E0197,B0197,Full-time,FreelanceInd,9,97989,8165
E0198,B0198,Self-employed,EduGroup,7,120229,10019
E0199,B0199,Full-time,StartupXYZ,3,89465,7455
E0200,B0200,Unemployed,HealthSys,0,5369,447
E0201,B0201,Contract,StartupXYZ,0,58675,4889
E0202,B0202,Full-time,EduGroup,10,81881,6823
E0203,B0203,Full-time,StartupXYZ,6,47396,3949
E0204,B0204,Contract,FreelanceInd,16,18000,1500
E0205,B0205,Full-time,EduGroup,19,121104,10092
E0206,B0206,Unemployed,ManufactureLtd,0,6364,530
E0207,B0207,Part-time,RetailCo,17,62255,5187
E0208,B0208,Full-time,EduGroup,21,91690,7640
E0209,B0209,Full-time,StartupXYZ,21,115034,9586
E0210,B0210,Full-time,ManufactureLtd,11,79713,6642
E0211,B0211,Self-employed,RetailCo,8,36188,3015
E0212,B0212,Full-time,GovernmentOrg,4,62959,5246
E0213,B0213,Full-time,HealthSys,9,51645,4303
E0214,B0214,Full-time,FreelanceInd,3,70853,5904
E0215,B0215,Part-time,StartupXYZ,4,108959,9079
E0216,B0216,Unemployed,StartupXYZ,0,14256,1188
E0217,B0217,Contract,GovernmentOrg,10,59658,4971
E0218,B0218,Full-time,HealthSys,20,57478,4789
E0219,B0219,Self-employed,GovernmentOrg,23,34297,2858
E0220,B0220,Self-employed,TechCorp,9,89564,7463
E0221,B0221,Part-time,GovernmentOrg,7,29550,2462
E0222,B0222,Contract,ManufactureLtd,1,33003,2750
E0223,B0223,Full-time,RetailCo,22,97532,8127
E0224,B0224,Full-time,StartupXYZ,7,117017,9751
E0225,B0225,Unemployed,GovernmentOrg,0,10485,873
E0226,B0226,Full-time,StartupXYZ,21,35478,2956
E0227,B0227,Self-employed,EduGroup,4,50833,4236
E0228,B0228,Unemployed,HealthSys,0,10039,836
E0229,B0229,Full-time,GovernmentOrg,2,75493,6291
E0230,B0230,Unemployed,RetailCo,0,13252,1104
E0231,B0231,Full-time,ManufactureLtd,12,81391,6782
E0232,B0232,Full-time,TechCorp,12,70870,5905
E0233,B0233,Part-time,StartupXYZ,9,118371,9864
E0234,B0234,Contract,HealthSys,3,49525,4127
E0235,B0235,Full-time,FreelanceInd,8,46081,3840
E0236,B0236,Full-time,RetailCo,21,30496,2541
E0237,B0237,Part-time,FreelanceInd,23,55800,4650
E0238,B0238,Self-employed,RetailCo,22,39240,3270
E0239,B0239,Part-time,RetailCo,1,78542,6545
E0240,B0240,Full-time,ManufactureLtd,18,72628,6052
E0241,B0241,Full-time,ManufactureLtd,0,39627,3302
E0242,B0242,Full-time,ManufactureLtd,24,89674,7472
E0243,B0243,Self-employed,GovernmentOrg,6,117504,9792
E0244,B0244,Full-time,EduGroup,16,82735,6894
E0245,B0245,Full-time,RetailCo,2,18000,1500
E0246,B0246,Contract,HealthSys,19,131613,10967
E0247,B0247,Full-time,FreelanceInd,19,94407,7867
E0248,B0248,Contract,ManufactureLtd,20,130692,10891
E0249,B0249,Part-time,GovernmentOrg,2,104721,8726
E0250,B0250,Self-employed,ManufactureLtd,2,110715,9226
E0251,B0251,Full-time,FreelanceInd,16,78158,6513
E0252,B0252,Full-time,FreelanceInd,6,64131,5344
E0253,B0253,Self-employed,StartupXYZ,13,83204,6933
E0254,B0254,Self-employed,RetailCo,16,50736,4228
E0255,B0255,Self-employed,ManufactureLtd,17,85016,7084
E0256,B0256,Full-time,FreelanceInd,12,18000,1500
E0257,B0257,Self-employed,EduGroup,19,73287,6107
E0258,B0258,Self-employed,EduGroup,19,112340,9361
E0259,B0259,Part-time,ManufactureLtd,20,74829,6235
E0260,B0260,Self-employed,GovernmentOrg,17,123824,10318
E0261,B0261,Self-employed,FreelanceInd,3,64087,5340
E0262,B0262,Part-time,StartupXYZ,0,102079,8506
E0263,B0263,Full-time,RetailCo,17,45651,3804
E0264,B0264,Full-time,RetailCo,0,100858,8404
E0265,B0265,Full-time,GovernmentOrg,12,78977,6581
E0266,B0266,Full-time,StartupXYZ,19,65407,5450
E0267,B0267,Full-time,RetailCo,19,18000,1500
E0268,B0268,Full-time,StartupXYZ,22,64368,5364
E0269,B0269,Full-time,TechCorp,9,78403,6533
E0270,B0270,Full-time,ManufactureLtd,10,96861,8071
E0271,B0271,Self-employed,RetailCo,8,118828,9902
E0272,B0272,Contract,EduGroup,8,133050,11087
E0273,B0273,Full-time,FreelanceInd,4,109388,9115
E0274,B0274,Contract,StartupXYZ,0,55137,4594
E0275,B0275,Full-time,StartupXYZ,16,62855,5237
E0276,B0276,Full-time,HealthSys,21,94167,7847
E0277,B0277,Full-time,GovernmentOrg,1,87588,7299
E0278,B0278,Full-time,HealthSys,23,120850,10070
E0279,B0279,Self-employed,RetailCo,12,146381,12198
E0280,B0280,Self-employed,HealthSys,8,140015,11667
E0281,B0281,Full-time,HealthSys,3,116818,9734
E0282,B0282,Full-time,TechCorp,4,87837,7319
E0283,B0283,Full-time,StartupXYZ,10,112479,9373
E0284,B0284,Full-time,EduGroup,23,121843,10153
E0285,B0285,Full-time,GovernmentOrg,18,67580,5631
E0286,B0286,Full-time,EduGroup,20,56020,4668
E0287,B0287,Self-employed,TechCorp,2,48977,4081
E0288,B0288,Contract,TechCorp,11,45708,3809
E0289,B0289,Full-time,HealthSys,18,30540,2545
E0290,B0290,Contract,ManufactureLtd,18,79497,6624
E0291,B0291,Full-time,StartupXYZ,12,42007,3500
E0292,B0292,Full-time,FreelanceInd,6,48494,4041
E0293,B0293,Full-time,StartupXYZ,14,93037,7753
E0294,B0294,Part-time,FreelanceInd,22,77448,6454
E0295,B0295,Contract,HealthSys,6,84888,7074
E0296,B0296,Part-time,FreelanceInd,7,112954,9412
E0297,B0297,Full-time,TechCorp,4,97935,8161
E0298,B0298,Part-time,EduGroup,20,117566,9797
E0299,B0299,Full-time,FreelanceInd,13,74399,6199
E0300,B0300,Unemployed,StartupXYZ,0,7668,639
E0301,B0301,Full-time,GovernmentOrg,22,82792,6899
E0302,B0302,Full-time,HealthSys,9,77061,6421
E0303,B0303,Part-time,ManufactureLtd,19,115845,9653
E0304,B0304,Part-time,HealthSys,14,45835,3819
E0305,B0305,Full-time,RetailCo,17,132708,11059
E0306,B0306,Part-time,HealthSys,19,63536,5294
E0307,B0307,Full-time,TechCorp,12,35456,2954
E0308,B0308,Self-employed,EduGroup,7,91605,7633
E0309,B0309,Self-employed,EduGroup,8,60680,5056
E0310,B0310,Self-employed,GovernmentOrg,15,132774,11064
E0311,B0311,Part-time,FreelanceInd,18,59012,4917
E0312,B0312,Full-time,TechCorp,15,81433,6786
E0313,B0313,Full-time,RetailCo,6,29232,2436
E0314,B0314,Self-employed,TechCorp,13,96387,8032
E0315,B0315,Full-time,HealthSys,13,48678,4056
E0316,B0316,Full-time,TechCorp,24,92799,7733
E0317,B0317,Full-time,TechCorp,3,59149,4929
E0318,B0318,Full-time,GovernmentOrg,14,18000,1500
E0319,B0319,Part-time,RetailCo,2,75935,6327
E0320,B0320,Full-time,HealthSys,4,74592,6216
E0321,B0321,Self-employed,ManufactureLtd,0,98432,8202
E0322,B0322,Full-time,GovernmentOrg,2,118680,9890
E0323,B0323,Full-time,ManufactureLtd,14,129372,10781
E0324,B0324,Full-time,GovernmentOrg,23,97924,8160
E0325,B0325,Full-time,EduGroup,7,80358,6696
E0326,B0326,Full-time,StartupXYZ,3,29179,2431
E0327,B0327,Self-employed,GovernmentOrg,1,78060,6505
E0328,B0328,Full-time,FreelanceInd,23,78448,6537
E0329,B0329,Self-employed,TechCorp,23,66040,5503
E0330,B0330,Full-time,EduGroup,9,90989,7582
E0331,B0331,Full-time,RetailCo,3,105657,8804
E0332,B0332,Self-employed,ManufactureLtd,2,47447,3953
E0333,B0333,Full-time,StartupXYZ,1,46980,3915
E0334,B0334,Full-time,StartupXYZ,24,67821,5651
E0335,B0335,Full-time,GovernmentOrg,16,53543,4461
E0336,B0336,Full-time,TechCorp,22,22762,1896
E0337,B0337,Self-employed,RetailCo,20,42102,3508
E0338,B0338,Full-time,FreelanceInd,23,35030,2919
E0339,B0339,Self-employed,RetailCo,19,108253,9021
E0340,B0340,Unemployed,TechCorp,0,5596,466
E0341,B0341,Full-time,FreelanceInd,12,39136,3261
E0342,B0342,Contract,RetailCo,4,88382,7365
E0343,B0343,Full-time,FreelanceInd,20,98205,8183
E0344,B0344,Contract,GovernmentOrg,8,27231,2269
E0345,B0345,Full-time,GovernmentOrg,24,76829,6402
E0346,B0346,Part-time,TechCorp,24,148005,12333
E0347,B0347,Full-time,TechCorp,21,92314,7692
E0348,B0348,Full-time,FreelanceInd,5,64640,5386
E0349,B0349,Part-time,HealthSys,4,55194,4599
E0350,B0350,Self-employed,EduGroup,24,18000,1500
E0351,B0351,Full-time,StartupXYZ,9,86114,7176
E0352,B0352,Full-time,RetailCo,7,130434,10869
E0353,B0353,Self-employed,RetailCo,6,47593,3966
E0354,B0354,Part-time,HealthSys,6,18000,1500
E0355,B0355,Contract,HealthSys,5,52073,4339
E0356,B0356,Self-employed,HealthSys,20,98447,8203
E0357,B0357,Contract,ManufactureLtd,19,59144,4928
E0358,B0358,Self-employed,ManufactureLtd,2,47385,3948
E0359,B0359,Full-time,FreelanceInd,18,72574,6047
E0360,B0360,Full-time,ManufactureLtd,21,78891,6574
E0361,B0361,Self-employed,GovernmentOrg,14,30348,2529
E0362,B0362,Part-time,GovernmentOrg,3,65481,5456
E0363,B0363,Full-time,TechCorp,11,57081,4756
E0364,B0364,Full-time,StartupXYZ,5,52772,4397
E0365,B0365,Contract,FreelanceInd,18,41488,3457
E0366,B0366,Full-time,StartupXYZ,3,100237,8353
E0367,B0367,Full-time,RetailCo,14,52668,4389
E0368,B0368,Full-time,EduGroup,8,18000,1500
E0369,B0369,Full-time,TechCorp,4,79928,6660
E0370,B0370,Full-time,RetailCo,12,93755,7812
E0371,B0371,Full-time,RetailCo,22,48119,4009
E0372,B0372,Full-time,FreelanceInd,17,55210,4600
E0373,B0373,Self-employed,HealthSys,4,52528,4377
E0374,B0374,Full-time,HealthSys,24,61600,5133
E0375,B0375,Self-employed,StartupXYZ,15,105205,8767
E0376,B0376,Unemployed,TechCorp,0,9236,769
E0377,B0377,Full-time,HealthSys,13,97187,8098
E0378,B0378,Part-time,RetailCo,24,42935,3577
E0379,B0379,Full-time,HealthSys,15,60489,5040
E0380,B0380,Unemployed,ManufactureLtd,0,5238,436
E0381,B0381,Full-time,HealthSys,21,47831,3985
E0382,B0382,Part-time,RetailCo,3,102364,8530
E0383,B0383,Part-time,StartupXYZ,6,53148,4429
E0384,B0384,Full-time,FreelanceInd,15,62350,5195
E0385,B0385,Full-time,TechCorp,23,122104,10175
E0386,B0386,Part-time,EduGroup,21,58925,4910
E0387,B0387,Self-employed,HealthSys,20,76360,6363
E0388,B0388,Full-time,GovernmentOrg,21,90493,7541
E0389,B0389,Part-time,GovernmentOrg,20,78795,6566
E0390,B0390,Full-time,StartupXYZ,7,79651,6637
E0391,B0391,Self-employed,RetailCo,16,70303,5858
E0392,B0392,Full-time,EduGroup,15,32932,2744
E0393,B0393,Unemployed,EduGroup,0,5192,432
E0394,B0394,Full-time,ManufactureLtd,9,50025,4168
E0395,B0395,Full-time,EduGroup,9,95273,7939
E0396,B0396,Full-time,GovernmentOrg,1,113161,9430
E0397,B0397,Full-time,FreelanceInd,8,18000,1500
E0398,B0398,Full-time,RetailCo,16,113214,9434
E0399,B0399,Full-time,RetailCo,10,59668,4972
E0400,B0400,Self-employed,HealthSys,9,68071,5672
