loan_id,application_id,borrower_id,loan_amount,loan_term_months,interest_rate,origination_date,loan_status,default_flag,monthly_payment
LN00217,LA00368,B0240,29081,36,5.0,2022-05-03,Current,0,811.18
LN00218,LA00372,B0077,49668,36,13.05,2022-08-17,Current,0,1394.7
LN00219,LA00373,B0137,11264,36,11.83,2022-10-01,Paid Off,0,316.0
LN00220,LA00375,B0211,44522,60,12.75,2023-07-16,Defaulted,1,749.93
LN00221,LA00376,B0240,11328,48,7.46,2022-04-28,Current,0,237.47
LN00222,LA00378,B0268,17234,24,9.18,2023-04-28,Paid Off,0,723.59
LN00223,LA00379,B0207,18969,24,5.0,2023-01-30,Charged Off,1,793.7
LN00224,LA00380,B0267,15901,60,6.33,2023-12-04,Current,0,266.42
LN00225,LA00381,B0154,8413,36,11.55,2024-05-25,Current,0,235.95
LN00226,LA00382,B0042,8951,36,18.91,2023-04-05,Current,0,252.58
LN00227,LA00383,B0011,6636,36,10.09,2024-04-14,Current,0,185.9
LN00228,LA00386,B0275,11684,36,12.64,2023-02-16,Current,0,327.99
LN00229,LA00387,B0390,34677,24,17.81,2022-03-16,Charged Off,1,1466.32
LN00230,LA00388,B0372,41194,24,21.51,2022-10-22,Current,0,1747.2
LN00231,LA00389,B0230,11876,36,13.78,2024-03-03,Defaulted,1,333.68
LN00232,LA00393,B0355,2738,48,15.33,2022-07-30,Current,0,57.79
LN00233,LA00394,B0232,7977,24,11.08,2023-07-14,Current,0,335.47
LN00234,LA00395,B0328,11987,12,11.77,2022-03-27,Current,0,1008.78
LN00235,LA00396,B0052,6998,24,12.39,2022-05-29,Late 60-89,0,294.63
LN00236,LA00399,B0263,14642,36,5.0,2023-04-25,Current,0,408.42
LN00237,LA00401,B0359,36621,48,23.08,2022-05-31,Current,0,777.61
LN00238,LA00402,B0317,20237,24,10.02,2022-05-21,Current,0,850.29
LN00239,LA00404,B0396,11419,36,16.33,2022-09-17,Late 30-59,0,321.53
LN00240,LA00405,B0154,2768,36,18.26,2024-04-25,Current,0,78.08
LN00241,LA00408,B0140,14268,48,13.7,2023-01-06,Current,0,300.65
LN00242,LA00409,B0051,32264,48,13.08,2023-02-23,Paid Off,0,679.51
LN00243,LA00413,B0088,12384,24,14.13,2024-05-14,Current,0,522.08
LN00244,LA00415,B0377,20625,36,11.52,2024-01-23,Current,0,578.44
LN00245,LA00417,B0089,12353,36,11.22,2024-04-28,Current,0,346.36
LN00246,LA00419,B0118,10255,36,9.68,2022-04-05,Current,0,287.18
LN00247,LA00420,B0054,18320,12,12.83,2022-08-14,Defaulted,1,1543.05
LN00248,LA00421,B0116,2375,36,5.19,2023-06-02,Paid Off,0,66.28
LN00249,LA00422,B0118,9506,48,10.84,2022-08-02,Current,0,199.84
LN00250,LA00426,B0007,30970,24,5.0,2023-09-04,Current,0,1295.81
LN00251,LA00429,B0011,8219,60,12.96,2024-04-13,Current,0,138.47
LN00252,LA00430,B0348,11498,48,14.0,2024-02-09,Current,0,242.34
LN00253,LA00434,B0235,41872,36,15.72,2023-04-25,Current,0,1178.36
LN00254,LA00435,B0367,6893,24,13.46,2023-10-09,Late 30-59,0,290.44
LN00255,LA00436,B0313,4541,24,11.0,2022-08-10,Current,0,190.97
LN00256,LA00439,B0029,13463,36,6.89,2023-03-04,Paid Off,0,376.14
LN00257,LA00441,B0164,60834,24,26.4,2023-02-20,Defaulted,1,2590.54
LN00258,LA00443,B0334,12694,36,13.02,2023-01-06,Current,0,356.45
LN00259,LA00444,B0035,8966,36,12.25,2022-12-10,Current,0,251.6
LN00260,LA00445,B0286,31550,48,14.71,2022-09-19,Defaulted,1,665.35
LN00261,LA00446,B0348,23759,60,15.9,2022-10-10,Current,0,401.25
LN00262,LA00447,B0273,18396,48,6.9,2024-04-29,Current,0,385.46
LN00263,LA00451,B0173,10032,24,8.44,2022-10-07,Paid Off,0,420.95
LN00264,LA00452,B0079,7625,36,14.03,2024-05-19,Current,0,214.29
LN00265,LA00453,B0110,15533,48,5.05,2022-10-17,Current,0,324.99
LN00266,LA00455,B0358,13838,12,16.85,2022-02-16,Defaulted,1,1169.4
LN00267,LA00458,B0181,32085,36,13.66,2024-01-28,Current,0,901.42
LN00268,LA00459,B0064,6175,24,9.86,2022-01-24,Current,0,259.43
LN00269,LA00460,B0246,18377,36,11.66,2022-11-17,Current,0,515.43
LN00270,LA00461,B0244,6245,36,9.22,2022-10-01,Current,0,174.81
LN00271,LA00464,B0217,9628,60,25.25,2022-11-09,Paid Off,0,163.85
LN00272,LA00468,B0210,32536,36,9.73,2023-12-12,Paid Off,0,911.11
LN00273,LA00469,B0169,8549,36,8.97,2023-11-05,Current,0,239.26
LN00274,LA00470,B0330,18643,36,15.21,2023-04-15,Current,0,524.44
LN00275,LA00472,B0391,11175,48,14.14,2023-11-06,Paid Off,0,235.57
LN00276,LA00473,B0381,5040,24,5.0,2022-04-26,Current,0,210.89
LN00277,LA00477,B0161,44082,48,15.55,2023-01-14,Current,0,930.28
LN00278,LA00478,B0001,19037,48,12.73,2023-12-23,Current,0,400.81
LN00279,LA00480,B0188,5857,48,8.65,2023-04-11,Current,0,122.91
LN00280,LA00481,B0004,23544,24,25.17,2024-01-02,Current,0,1001.58
LN00281,LA00482,B0132,88002,36,5.0,2022-10-07,Defaulted,1,2454.69
LN00282,LA00483,B0218,24263,48,11.02,2023-10-10,Current,0,510.13
LN00283,LA00484,B0260,18651,36,5.0,2023-09-10,Current,0,520.26
LN00284,LA00488,B0189,8688,60,14.49,2023-04-01,Paid Off,0,146.56
LN00285,LA00489,B0291,7355,36,12.48,2024-06-18,Current,0,206.44
LN00286,LA00490,B0008,8676,48,9.83,2023-04-20,Current,0,182.23
LN00287,LA00492,B0292,10674,12,13.26,2022-09-18,Current,0,899.39
LN00288,LA00495,B0299,13699,48,21.11,2022-10-13,Paid Off,0,290.43
LN00289,LA00496,B0283,14707,60,5.0,2022-11-24,Paid Off,0,246.15
LN00290,LA00499,B0377,74998,36,11.94,2023-11-18,Current,0,2104.03
LN00291,LA00500,B0146,16835,24,5.0,2022-10-09,Current,0,704.4
